Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6
Points,32,17,24,30,23,36
First Downs,24,24,25,19,22,21
Rush Att,38,25,34,32,26,33
Rush Yds,180,102,137,148,153,228
Rush TDs,2,1,0,1,0,1
Pass Comp,19,28,22,15,19,18
Pass Att,29,36,30,27,35,28
Pass Yds,231,319,292,288,244,255
Pass TD,0,1,3,1,1,3
Pass INT,0,1,0,1,2,0
Sacks Taken,3,6,1,1,2,0
Sacked Yards,10,25,4,5,13,0
Net Pass Yards,221,294,288,283,231,255
Total Yards,401,396,425,431,384,483
Fumbles,0,3,2,3,1,0
Fumbles Lost,0,1,1,1,1,0
Turnovers,0,2,1,2,3,0
Penalties,4,4,7,6,4,5
Penalty Yds,40,30,111,43,21,34
3D Conv,6,2,6,7,6,5
3D Conv Yards,13,10,11,13,11,12
4D Conv,0,1,1,0,0,0
4D Conv Yards,0,3,1,0,1,0
Time of Possession,38:40,34:48,33:27,31:35,32:58,33:03
