Unnamed: 0,week_3,week_4,week_5
Points,24,29,20
First Downs,21,38,17
Rush Att,23,19,11
Rush Yds,100,133,102
Rush TDs,2,3,0
Pass Comp,26,38,28
Pass Att,34,56,40
Pass Yds,289,395,284
Pass TD,1,1,1
Pass INT,2,1,0
Sacks Taken,3,3,7
Sacked Yards,19,12,53
Net Pass Yards,270,383,231
Total Yards,370,516,333
Fumbles,1,1,1
Fumbles Lost,0,1,1
Turnovers,2,2,1
Penalties,11,8,6
Penalty Yds,92,70,30
3D Conv,3,5,3
3D Conv Yards,11,10,11
4D Conv,0,1,0
4D Conv Yards,0,2,2
Time of Possession,31:28,34:04,22:38
