Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6
Points,20,16,26,16,36,27
First Downs,22,26,18,16,28,19
Rush Att,30,27,28,20,18,21
Rush Yds,138,139,136,113,73,81
Rush TDs,3,1,2,1,0,1
Pass Comp,17,35,25,18,42,22
Pass Att,24,56,36,30,59,40
Pass Yds,184,324,216,158,509,243
Pass TD,0,0,0,1,4,1
Pass INT,0,2,0,0,1,2
Sacks Taken,2,0,0,6,4,5
Sacked Yards,23,0,0,44,32,21
Net Pass Yards,161,324,216,114,477,222
Total Yards,299,463,352,227,550,303
Fumbles,3,0,1,3,1,3
Fumbles Lost,0,0,1,2,0,1
Turnovers,0,2,1,2,1,3
Penalties,7,4,5,5,8,7
Penalty Yds,51,71,51,41,74,70
3D Conv,2,7,4,6,6,4
3D Conv Yards,8,17,13,13,14,13
4D Conv,1,3,2,1,2,1
4D Conv Yards,1,5,3,2,3,1
Time of Possession,26:19,33:53,32:08,23:43,33:37,25:58
