Unnamed: 0,week_3,week_4,week_5
Points,27,18,19
First Downs,19,21,24
Rush Att,26,26,28
Rush Yds,98,119,134
Rush TDs,2,1,1
Pass Comp,16,20,29
Pass Att,26,29,45
Pass Yds,221,224,260
Pass TD,1,0,1
Pass INT,0,1,1
Sacks Taken,3,3,3
Sacked Yards,23,21,24
Net Pass Yards,198,203,236
Total Yards,296,322,370
Fumbles,0,1,1
Fumbles Lost,0,1,1
Turnovers,0,2,2
Penalties,8,6,5
Penalty Yds,75,44,30
3D Conv,5,5,8
3D Conv Yards,12,11,16
4D Conv,2,0,2
4D Conv Yards,2,0,4
Time of Possession,26:33,31:02,32:41
