Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6,week_7
Points,10,22,17,26,36,38,14
First Downs,15,22,19,14,28,25,22
Rush Att,22,28,25,15,18,38,32
Rush Yds,89,152,82,88,73,198,155
Rush TDs,0,0,1,0,0,3,1
Pass Comp,16,20,20,21,42,19,25
Pass Att,26,29,29,35,59,30,36
Pass Yds,155,241,230,238,509,225,246
Pass TD,1,2,1,0,4,1,1
Pass INT,2,0,1,1,1,0,2
Sacks Taken,2,1,2,1,4,0,3
Sacked Yards,18,8,1,11,32,0,32
Net Pass Yards,137,233,229,227,477,225,214
Total Yards,226,385,311,315,550,423,369
Fumbles,1,1,2,1,1,1,1
Fumbles Lost,1,0,0,0,0,1,1
Turnovers,3,0,1,1,1,1,3
Penalties,5,3,6,9,8,5,9
Penalty Yds,34,40,44,76,74,45,72
3D Conv,2,2,2,4,6,6,8
3D Conv Yards,9,9,9,11,14,12,15
4D Conv,1,1,1,0,2,0,2
4D Conv Yards,1,2,3,0,3,0,2
Time of Possession,24:24,24:21,25:03,24:18,33:37,30:40,31:08
