Unnamed: 0,week_3,week_4,week_5
Points,36,24,10
First Downs,24,24,14
Rush Att,31,29,19
Rush Yds,131,155,120
Rush TDs,1,1,1
Pass Comp,26,25,22
Pass Att,37,41,35
Pass Yds,319,220,194
Pass TD,3,2,0
Pass INT,0,1,1
Sacks Taken,2,0,4
Sacked Yards,13,0,22
Net Pass Yards,306,220,172
Total Yards,437,375,292
Fumbles,0,0,4
Fumbles Lost,0,0,2
Turnovers,0,1,3
Penalties,7,6,4
Penalty Yds,51,37,18
3D Conv,5,7,3
3D Conv Yards,12,14,12
4D Conv,0,1,1
4D Conv Yards,0,3,3
Time of Possession,36:02,31:02,26:12
