,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
SIZE_0,0.41540570259804355,0.20116612101916995,-0.29883494871127025,0.2590923904515261,-0.11375830738975413,0.021862102047988437,-0.09609953168883788,0.08226977817034457,-0.7457512879003558,0.21206550129566887
SHAPE_1,0.4643818581154259,-0.14773344430405527,0.23214397748587953,-0.15299892113596608,0.006716068563060612,0.05534924051217591,0.06187368502099062,-0.007228031959465438,0.2842669466892324,0.772934592840346
SHAPE_2,0.020177905129249243,-0.6298393706059282,0.018599854853715705,0.1344719236098781,-0.29258165994422913,0.6051182684879244,0.0871034863280989,0.3212217476143432,-0.06992535128441736,-0.13051604009732698
SHAPE_3,-0.39925936006234297,0.0789136691848267,-0.1051772087094957,0.378618256685005,0.1103889446807915,0.4639524063857651,-0.16423546221906862,-0.5638630812631951,0.021376356972820816,0.3273243072138657
SHAPE_4,-0.3542227905375304,0.20146074985671827,0.3005648273034342,0.3174362364110534,-0.14830564572091345,-0.12005510790961652,0.6939443217330614,0.23414438645344912,-0.13245894743147796,0.22912730024258024
SHAPE_6,0.2793991618610991,-0.07221902943731354,0.09238781477787757,0.40746995081519527,0.8107556925113886,0.08932179290989704,0.15063545939372427,0.13655330125781498,0.06499404340064661,-0.17688415413679015
SHAPE_7,-0.42113816656574193,-0.0014856095599540557,-0.23664515852654258,0.011861269168116046,0.21423132922331928,-0.08288096837971357,-0.41020615206164934,0.6483527746952354,0.052695131953460025,0.3497532200700554
SHAPE_8,0.0708243344244366,0.1834436588796491,0.7246547573026012,0.3222545019909083,-0.19573962783781074,-0.0043273941328238865,-0.5206966008457335,0.10110761844473608,-0.013299157816094259,-0.11181484629033293
SHAPE_9,-0.015060803352330137,-0.5540353633729428,-0.1353439720064996,0.4753380072084999,-0.14476023473218358,-0.6121543238076198,-0.0841275429880308,-0.19170782794327995,0.07276159316672946,0.061169849917863936
SHAPE_10,0.2565822698121984,0.3851896057869068,-0.3835107358185061,0.3889673263219192,-0.3236359802316557,0.10500498454868708,0.04068142853001012,0.17677130296623603,0.5724363054722089,-0.1051938709944792
