,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
SIZE_0,0.3871785374740044,0.11562534985216344,-0.033648339956883065,0.24650853101556977,0.5008365114369366,-0.4785937822233169,0.20382918558100957,0.04786061952275632,-0.4916042073664743,0.09707728817013875
SHAPE_1,0.4905521888488001,-0.04136484975898163,-0.047440854693357265,-0.1870470194911278,-0.18929322412376848,0.15138670288444384,-0.008366026326656513,0.02251478541024848,0.10381391173926775,0.8064156399072053
SHAPE_2,0.049205841410682086,-0.6416373565586532,0.13593577769934218,-0.2590878225346574,-0.24088931422704168,0.10904188560164052,0.4692268000577247,0.10710021676123817,-0.4247099634024167,-0.13540553361913363
SHAPE_3,-0.41502454999680244,0.02074973714272339,0.28346106730545706,0.09233144841593156,0.26778230871296776,-0.07641241111685071,0.6396272727299857,-0.02484508559201872,0.37952720705890974,0.3272939804450703
SHAPE_4,-0.3669895701212208,0.2224428538788151,0.2532975416220412,-0.3213890422370895,-0.026682322912390498,-0.15305931323077165,-0.23333089770950494,0.6665411493388864,-0.28319335646542204,0.21290674639825544
SHAPE_5,0.12164288013250667,0.22504104760589855,0.6249133261553246,0.3395342038689138,-0.5730915165289403,-0.23683254578105817,0.01520656293531958,-0.18706732853462638,-0.0928641309751448,-0.019664255906751776
SHAPE_6,0.3032945163364157,0.041871130766647835,0.504812758817719,0.14981524514035954,0.38143071685456803,0.6314167775279982,-0.06164566269345423,0.2349838840628646,0.02931717105365539,-0.15787674593224194
SHAPE_7,-0.43281736157642714,-0.08066531364512973,0.02222570527616031,0.2329418029097054,0.11186028998568179,0.3265914408342074,-0.2236042967197363,-0.43812643316758926,-0.5137222868995628,0.3554819805051497
SHAPE_8,0.07722026203729378,0.32816854905441484,0.24503280876292227,-0.7269292190498966,0.17212452848805576,-0.02136028696467817,0.056034687465188596,-0.4928433939950813,-0.0942762238747779,-0.11344447498764926
SHAPE_9,0.005000235058772067,-0.5972534649526762,0.35740894166029114,-0.06991700572066575,0.2584976505261476,-0.3807609253608816,-0.4663403606535452,-0.12560498973905737,0.24626856515974652,0.07025445015674237
