,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
SHAPE_1,0.5277821645046054,-0.05520439737744839,-0.026846766333462245,-0.15714491605998274,0.09971104744882218,-0.03024786750685053,0.060721340316864346,-0.04167610597894989,-0.004615670174454607,0.8226060284074669
SHAPE_2,0.06109117707990011,-0.6339015988850567,0.11478108543230887,-0.16283077438621701,-0.12777716067929312,-0.1746266379366309,0.6049743865951502,-0.14020139359487332,0.31586564832783665,-0.15001686535095463
SHAPE_3,-0.4439136104390226,0.02683128424138374,0.26457026978122994,0.1103110889543605,-0.18335560222563207,0.1271331197307107,0.4624999361580952,0.34430559177443076,-0.4826615344193994,0.323817895387331
SHAPE_4,-0.379381373839443,0.1999966481662931,0.29212049437565174,-0.30862533465237985,-0.16027795800395198,-0.15690668652072412,-0.08709772279224008,-0.7357310925797218,-0.011525576872129774,0.19015601110447825
SHAPE_5,0.1249118443221479,0.20077253329702893,0.6048514970265287,0.38839605672685357,0.24383679338377034,-0.5689397642552855,0.013306676626486253,0.12708540863619192,0.1662259090856273,-0.016820580976249833
SHAPE_6,0.3163890876614859,0.02347361221059092,0.48926869902353337,0.21485838465299723,0.06234440173629372,0.714347663608742,0.08602885921002822,-0.26617261455863683,-0.0130363779383472,-0.14560483508389283
SHAPE_7,-0.4633875706217845,-0.07935827910799498,0.002456282053289204,0.19059052864617054,0.13989958999753396,0.2855833461156409,-0.1221534756440022,0.13890216601168595,0.7002395182101351,0.34199858324445154
SHAPE_8,0.0940451510469347,0.2729847027492938,0.33723582546486436,-0.7065206032291415,-0.16314626581471525,0.09490902487434372,-0.03687265885504115,0.4418265061779744,0.24088320792224174,-0.11625874342143346
SHAPE_9,0.0035489559475591387,-0.5723772817044862,0.30484806397060826,0.05841683066461943,-0.3974106670265133,-0.040136133528118546,-0.6085530765991609,0.1287749704524886,-0.1533737094546714,0.07770007594889702
SHAPE_10,0.1934791585436744,0.3242034897146063,-0.13739422103383334,0.32472945646374024,-0.8043353527622656,-0.040577651200397934,0.12095768785420238,-0.025962707493118384,0.2596690096832868,0.042388631682642695
