,ARI,TAM
Points,,
First Downs,22,13
Rush Att,19,27
Rush Yds,95,95
Rush TDs,0,1
Pass Comp,29,18
Pass Att,40,28
Pass Yds,301,194
Pass TD,2,1
Pass INT,1,0
Sacks Taken,2,2
Sacked Yards,10,10
Net Pass Yards,291,184
Total Yards,386,279
Fumbles,1,1
Fumbles Lost,1,0
Turnovers,2,0
Penalties,4,5
Penalty Yds,33,40
3D Conv,3,7
3D Conv Yards,8,16
4D Conv,0,1
4D Conv Yards,2,1
Time of Possession,29:34,30:26
