,LVR,LAC
Points,,
First Downs,12,22
Rush Att,18,43
Rush Yds,31,192
Rush TDs,0,2
Pass Comp,18,16
Pass Att,23,21
Pass Yds,165,160
Pass TD,2,2
Pass INT,1,1
Sacks Taken,5,3
Sacked Yards,40,11
Net Pass Yards,125,149
Total Yards,156,341
Fumbles,1,0
Fumbles Lost,0,0
Turnovers,1,1
Penalties,4,4
Penalty Yds,50,27
3D Conv,2,12
3D Conv Yards,8,17
4D Conv,0,0
4D Conv Yards,2,1
Time of Possession,24:12,35:48
