,DEN,WAS
Points,,
First Downs,23,30
Rush Att,23,33
Rush Yds,87,143
Rush TDs,2,1
Pass Comp,29,28
Pass Att,45,50
Pass Yds,321,294
Pass TD,1,2
Pass INT,1,1
Sacks Taken,1,2
Sacked Yards,6,18
Net Pass Yards,315,276
Total Yards,402,419
Fumbles,1,2
Fumbles Lost,0,0
Turnovers,1,1
Penalties,5,5
Penalty Yds,33,35
3D Conv,7,8
3D Conv Yards,15,17
4D Conv,1,3
4D Conv Yards,1,3
Time of Possession,32:13,35:00
