,BUF,PIT
Points,,
First Downs,26,10
Rush Att,51,18
Rush Yds,249,58
Rush TDs,1,1
Pass Comp,15,10
Pass Att,23,24
Pass Yds,123,117
Pass TD,1,0
Pass INT,1,1
Sacks Taken,0,1
Sacked Yards,0,9
Net Pass Yards,123,108
Total Yards,372,166
Fumbles,2,2
Fumbles Lost,1,1
Turnovers,2,2
Penalties,7,5
Penalty Yds,45,67
3D Conv,8,3
3D Conv Yards,15,9
4D Conv,2,0
4D Conv Yards,2,1
Time of Possession,41:59,18:01
