,SEA,TEN
Points,,
First Downs,19,18
Rush Att,20,22
Rush Yds,114,64
Rush TDs,1,1
Pass Comp,16,28
Pass Att,26,42
Pass Yds,244,256
Pass TD,2,1
Pass INT,0,0
Sacks Taken,1,4
Sacked Yards,5,24
Net Pass Yards,239,232
Total Yards,353,296
Fumbles,0,0
Fumbles Lost,0,0
Turnovers,0,0
Penalties,11,10
Penalty Yds,69,63
3D Conv,2,6
3D Conv Yards,7,17
4D Conv,0,5
4D Conv Yards,1,7
Time of Possession,22:35,37:25
