,CLE,LVR
Points,,
First Downs,11,19
Rush Att,27,21
Rush Yds,64,60
Rush TDs,2,0
Pass Comp,11,30
Pass Att,20,44
Pass Yds,209,285
Pass TD,1,1
Pass INT,1,0
Sacks Taken,1,10
Sacked Yards,3,77
Net Pass Yards,206,208
Total Yards,270,268
Fumbles,1,2
Fumbles Lost,1,1
Turnovers,2,1
Penalties,8,13
Penalty Yds,77,109
3D Conv,3,4
3D Conv Yards,12,17
4D Conv,0,1
4D Conv Yards,0,3
Time of Possession,23:34,36:26
