,NYG,SEA
Points,29,20
First Downs,24,17
Rush Att,34,11
Rush Yds,175,102
Rush TDs,0,0
Pass Comp,23,28
Pass Att,34,40
Pass Yds,257,284
Pass TD,2,1
Pass INT,0,0
Sacks Taken,3,7
Sacked Yards,12,53
Net Pass Yards,245,231
Total Yards,420,333
Fumbles,2,1
Fumbles Lost,1,1
Turnovers,1,1
Penalties,2,6
Penalty Yds,20,30
3D Conv,7,3
3D Conv Yards,16,11
4D Conv,0,0
4D Conv Yards,1,2
Time of Possession,37:22,22:38
