,TAM,ATL
Points,30,36
First Downs,21,28
Rush Att,26,18
Rush Yds,160,73
Rush TDs,0,0
Pass Comp,19,42
Pass Att,24,59
Pass Yds,180,509
Pass TD,3,4
Pass INT,0,1
Sacks Taken,1,4
Sacked Yards,7,32
Net Pass Yards,173,477
Total Yards,333,550
Fumbles,2,1
Fumbles Lost,1,0
Turnovers,1,1
Penalties,5,8
Penalty Yds,47,74
3D Conv,6,6
3D Conv Yards,11,14
4D Conv,0,2
4D Conv Yards,0,3
Time of Possession,27:38,33:37
