,DEN,SEA
Points,20,26
First Downs,13,19
Rush Att,25,33
Rush Yds,99,146
Rush TDs,1,2
Pass Comp,26,18
Pass Att,42,25
Pass Yds,138,171
Pass TD,0,1
Pass INT,2,1
Sacks Taken,2,2
Sacked Yards,6,13
Net Pass Yards,132,158
Total Yards,231,304
Fumbles,2,1
Fumbles Lost,1,1
Turnovers,3,2
Penalties,8,6
Penalty Yds,60,41
3D Conv,5,4
3D Conv Yards,18,12
4D Conv,1,0
4D Conv Yards,1,0
Time of Possession,31:14,28:46
