,MIN,NYG
Points,28,6
First Downs,17,14
Rush Att,26,21
Rush Yds,111,74
Rush TDs,1,0
Pass Comp,19,22
Pass Att,24,42
Pass Yds,208,186
Pass TD,2,0
Pass INT,1,2
Sacks Taken,1,5
Sacked Yards,7,20
Net Pass Yards,201,166
Total Yards,312,240
Fumbles,1,1
Fumbles Lost,1,0
Turnovers,2,2
Penalties,7,9
Penalty Yds,63,95
3D Conv,3,7
3D Conv Yards,10,18
4D Conv,1,1
4D Conv Yards,1,3
Time of Possession,27:34,32:26
