,GNB,PHI
Points,29,34
First Downs,19,25
Rush Att,21,38
Rush Yds,163,144
Rush TDs,1,2
Pass Comp,17,20
Pass Att,35,34
Pass Yds,260,278
Pass TD,2,2
Pass INT,1,2
Sacks Taken,2,2
Sacked Yards,9,12
Net Pass Yards,251,266
Total Yards,414,410
Fumbles,1,2
Fumbles Lost,0,1
Turnovers,1,3
Penalties,10,7
Penalty Yds,71,57
3D Conv,3,4
3D Conv Yards,11,14
4D Conv,1,1
4D Conv Yards,1,1
Time of Possession,27:13,32:47
