Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6
Points,29,16,16,24,37,17
First Downs,26,19,26,23,20,16
Rush Att,40,53,28,30,23,28
Rush Yds,213,261,63,122,126,146
Rush TDs,1,0,0,2,2,1
Pass Comp,24,12,33,22,28,16
Pass Att,32,14,52,34,34,27
Pass Yds,234,122,363,312,371,95
Pass TD,2,1,2,1,2,1
Pass INT,0,0,2,0,1,1
Sacks Taken,4,0,4,4,0,0
Sacked Yards,30,0,31,30,0,0
Net Pass Yards,204,122,332,282,371,95
Total Yards,417,383,395,404,497,241
Fumbles,0,2,1,3,2,1
Fumbles Lost,0,1,1,2,1,0
Turnovers,0,1,3,2,2,1
Penalties,5,6,4,6,3,11
Penalty Yds,30,50,25,53,25,113
3D Conv,7,10,9,6,3,4
3D Conv Yards,14,17,21,13,10,11
4D Conv,2,0,4,0,1,1
4D Conv Yards,2,0,5,2,2,1
Time of Possession,40:00,40:11,35:01,31:07,28:28,30:32
