Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6
Points,34,21,15,16,bye,20
First Downs,25,22,20,16,bye,19
Rush Att,38,37,25,20,bye,36
Rush Yds,144,186,172,113,bye,116
Rush TDs,2,1,2,1,bye,0
Pass Comp,20,23,29,18,bye,16
Pass Att,34,30,38,30,bye,25
Pass Yds,278,183,311,158,bye,264
Pass TD,2,1,0,1,bye,2
Pass INT,2,1,1,0,bye,0
Sacks Taken,2,1,4,6,bye,1
Sacked Yards,12,4,23,44,bye,8
Net Pass Yards,266,179,288,114,bye,256
Total Yards,410,365,460,227,bye,372
Fumbles,2,0,2,3,bye,1
Fumbles Lost,1,0,1,2,bye,0
Turnovers,3,1,2,2,bye,0
Penalties,7,9,7,5,bye,5
Penalty Yds,57,53,45,41,bye,40
3D Conv,4,6,6,6,bye,5
3D Conv Yards,14,13,14,13,bye,14
4D Conv,1,2,1,1,bye,2
4D Conv Yards,1,3,3,2,bye,2
Time of Possession,32:47,35:39,32:15,23:43,bye,28:33
