Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6
Points,27,10,21,27,34,20
First Downs,14,19,15,22,25,20
Rush Att,22,18,33,32,20,28
Rush Yds,104,140,150,133,99,80
Rush TDs,2,0,3,1,1,0
Pass Comp,9,17,10,19,34,22
Pass Att,19,34,20,30,45,38
Pass Yds,212,204,167,239,383,189
Pass TD,2,1,0,2,3,2
Pass INT,1,3,2,0,0,1
Sacks Taken,2,1,1,2,4,0
Sacked Yards,13,6,11,14,35,0
Net Pass Yards,199,198,156,225,348,189
Total Yards,303,338,306,358,447,269
Fumbles,0,3,0,1,1,0
Fumbles Lost,0,0,0,0,1,0
Turnovers,1,3,2,0,1,1
Penalties,4,3,9,4,5,5
Penalty Yds,20,20,78,38,34,40
3D Conv,5,2,3,8,7,7
3D Conv Yards,10,9,12,15,14,15
4D Conv,1,1,0,0,1,1
4D Conv Yards,2,2,1,0,1,1
Time of Possession,20:00,19:49,24:59,28:53,31:32,29:28
