Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6
Points,28,41,13,14,24,13
First Downs,18,24,17,17,19,16
Rush Att,25,40,18,32,26,23
Rush Yds,124,231,77,181,169,89
Rush TDs,1,1,0,1,1,0
Pass Comp,21,17,21,16,19,22
Pass Att,31,21,34,22,30,32
Pass Yds,162,266,207,142,195,214
Pass TD,1,3,1,1,1,1
Pass INT,0,0,1,0,1,0
Sacks Taken,4,1,1,4,1,0
Sacked Yards,16,8,7,27,6,0
Net Pass Yards,146,258,200,115,189,214
Total Yards,270,489,277,296,358,303
Fumbles,1,2,0,3,1,3
Fumbles Lost,1,1,0,1,0,3
Turnovers,1,1,1,1,1,3
Penalties,5,5,4,4,1,13
Penalty Yds,31,52,30,82,5,100
3D Conv,7,7,1,4,3,4
3D Conv Yards,13,11,9,11,10,10
4D Conv,0,0,0,2,1,0
4D Conv Yards,1,0,2,3,1,0
Time of Possession,29:30,36:54,23:11,26:38,27:02,23:25
