Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6
Points,20,10,27,18,19,bye
First Downs,26,14,19,21,24,bye
Rush Att,23,20,26,26,28,bye
Rush Yds,83,53,98,119,134,bye
Rush TDs,1,1,2,1,1,bye
Pass Comp,34,19,16,20,29,bye
Pass Att,49,27,26,29,45,bye
Pass Yds,317,216,221,224,260,bye
Pass TD,1,0,1,0,1,bye
Pass INT,1,0,0,1,1,bye
Sacks Taken,2,5,3,3,3,bye
Sacked Yards,13,24,23,21,24,bye
Net Pass Yards,304,192,198,203,236,bye
Total Yards,387,245,296,322,370,bye
Fumbles,0,1,0,1,1,bye
Fumbles Lost,0,1,0,1,1,bye
Turnovers,1,1,0,2,2,bye
Penalties,6,2,8,6,5,bye
Penalty Yds,50,10,75,44,30,bye
3D Conv,5,2,5,5,8,bye
3D Conv Yards,12,11,12,11,16,bye
4D Conv,1,1,2,0,2,bye
4D Conv Yards,2,3,2,0,4,bye
Time of Possession,34:56,23:06,26:33,31:02,32:41,bye
