SHAPE_1_LOW,SHAPE_1_HIGH,SHAPE_3_LOW,SHAPE_3_HIGH,SHAPE_4_LOW,SHAPE_4_HIGH,SHAPE_8_LOW,SHAPE_8_HIGH,SHAPE_9_LOW,SHAPE_9_HIGH
SPRING1696.obj,SPRING1638.obj,SPRING1965.obj,SPRING0076.obj,SPRING2603.obj,SPRING2412.obj,SPRING2115.obj,SPRING0192.obj,SPRING2819.obj,SPRING1606.obj
SPRING2809.obj,SPRING1827.obj,SPRING2834.obj,SPRING0224.obj,SPRING1182.obj,SPRING3028.obj,SPRING1182.obj,SPRING0530.obj,SPRING1964.obj,SPRING0069.obj
SPRING4109.obj,SPRING2976.obj,SPRING4268.obj,SPRING1137.obj,SPRING2825.obj,SPRING1506.obj,SPRING1492.obj,SPRING4313.obj,SPRING4528.obj,SPRING2846.obj
SPRING2703.obj,SPRING1180.obj,SPRING2542.obj,SPRING0600.obj,SPRING2834.obj,SPRING4339.obj,SPRING1375.obj,SPRING2815.obj,SPRING4776.obj,SPRING2781.obj
SPRING4030.obj,SPRING2995.obj,SPRING1180.obj,SPRING1549.obj,SPRING1768.obj,SPRING2836.obj,SPRING2933.obj,SPRING4382.obj,SPRING4472.obj,SPRING0175.obj
SPRING4727.obj,SPRING4305.obj,SPRING2273.obj,SPRING0158.obj,SPRING2302.obj,SPRING4109.obj,SPRING2951.obj,SPRING4305.obj,SPRING2932.obj,SPRING0094.obj
SPRING4784.obj,SPRING1381.obj,SPRING2367.obj,SPRING2437.obj,SPRING2845.obj,SPRING4719.obj,SPRING2900.obj,SPRING1150.obj,SPRING1321.obj,SPRING1861.obj
SPRING4351.obj,SPRING1208.obj,SPRING2652.obj,SPRING0392.obj,SPRING2972.obj,SPRING2534.obj,SPRING1754.obj,SPRING1663.obj,SPRING0379.obj,SPRING2302.obj
SPRING4283.obj,SPRING2430.obj,SPRING2732.obj,SPRING4495.obj,SPRING1882.obj,SPRING2838.obj,SPRING1636.obj,SPRING1431.obj,SPRING2412.obj,SPRING4455.obj
SPRING1424.obj,SPRING2781.obj,SPRING2603.obj,SPRING0075.obj,SPRING2977.obj,SPRING2989.obj,SPRING2284.obj,SPRING4022.obj,SPRING2940.obj,SPRING0307.obj
SPRING2348.obj,SPRING2346.obj,SPRING2816.obj,SPRING0321.obj,SPRING1894.obj,SPRING1460.obj,SPRING2845.obj,SPRING4566.obj,SPRING2495.obj,SPRING4301.obj
SPRING2657.obj,SPRING2816.obj,SPRING2817.obj,SPRING2986.obj,SPRING2995.obj,SPRING3024.obj,SPRING0594.obj,SPRING4622.obj,SPRING4659.obj,SPRING2529.obj
SPRING2773.obj,SPRING1178.obj,SPRING1312.obj,SPRING4552.obj,SPRING1879.obj,SPRING4699.obj,SPRING2931.obj,SPRING4702.obj,SPRING2442.obj,SPRING0484.obj
SPRING4038.obj,SPRING2697.obj,SPRING2391.obj,SPRING0118.obj,SPRING1754.obj,SPRING1310.obj,SPRING1629.obj,SPRING4744.obj,SPRING1954.obj,SPRING2005.obj
SPRING1772.obj,SPRING2834.obj,SPRING4457.obj,SPRING0099.obj,SPRING2744.obj,SPRING4691.obj,SPRING1945.obj,SPRING4793.obj,SPRING1784.obj,SPRING0503.obj
SPRING2411.obj,SPRING2424.obj,SPRING2883.obj,SPRING0243.obj,SPRING0583.obj,SPRING4237.obj,SPRING0401.obj,SPRING4598.obj,SPRING2116.obj,SPRING2755.obj
SPRING4244.obj,SPRING2542.obj,SPRING2736.obj,SPRING1719.obj,SPRING1964.obj,SPRING1376.obj,SPRING2287.obj,SPRING4737.obj,SPRING2933.obj,SPRING2995.obj
SPRING1167.obj,SPRING1882.obj,SPRING2787.obj,SPRING2885.obj,SPRING2766.obj,SPRING4277.obj,SPRING2438.obj,SPRING0387.obj,SPRING1726.obj,SPRING0053.obj
SPRING4255.obj,SPRING2825.obj,SPRING2995.obj,SPRING0530.obj,SPRING2441.obj,SPRING4784.obj,SPRING2363.obj,SPRING4013.obj,SPRING1313.obj,SPRING2988.obj
SPRING4662.obj,SPRING2399.obj,SPRING1663.obj,SPRING2773.obj,SPRING0113.obj,SPRING4062.obj,SPRING2818.obj,SPRING4340.obj,SPRING2800.obj,SPRING0099.obj
SPRING4541.obj,SPRING1894.obj,SPRING2300.obj,SPRING0254.obj,SPRING2816.obj,SPRING4015.obj,SPRING2924.obj,SPRING4105.obj,SPRING1124.obj,SPRING0055.obj
SPRING4076.obj,SPRING2766.obj,SPRING2697.obj,SPRING2434.obj,SPRING2424.obj,SPRING2365.obj,SPRING1679.obj,SPRING2813.obj,SPRING1342.obj,SPRING4541.obj
SPRING1732.obj,SPRING2622.obj,SPRING4451.obj,SPRING0522.obj,SPRING2115.obj,SPRING2965.obj,SPRING2235.obj,SPRING4087.obj,SPRING1870.obj,SPRING2714.obj
SPRING1116.obj,SPRING2603.obj,SPRING2744.obj,SPRING0614.obj,SPRING2545.obj,SPRING4494.obj,SPRING0185.obj,SPRING2590.obj,SPRING2897.obj,SPRING2176.obj
SPRING4494.obj,SPRING1474.obj,SPRING2590.obj,SPRING4012.obj,SPRING1530.obj,SPRING1975.obj,SPRING1789.obj,SPRING0386.obj,SPRING1838.obj,SPRING2550.obj
