SIZE_0,SHAPE_1,SHAPE_2,SHAPE_3,SHAPE_4,SHAPE_5,SHAPE_6,SHAPE_7,SHAPE_8,SHAPE_9,SHAPE_10
238.8,0.748,0.488,1.957,1.097,1.291,1.236,1.349,0.972,3.257,0.395
213.8,0.603,0.475,2.122,1.274,1.346,1.108,1.386,1.051,3.205,0.399
204.0,0.590,0.487,2.146,1.417,1.223,1.192,1.383,1.112,3.394,0.384
207.6,0.528,0.460,2.116,1.329,1.468,1.140,1.448,1.019,3.282,0.372
204.7,0.587,0.478,2.116,1.279,1.292,1.092,1.424,1.076,3.165,0.370
198.6,0.593,0.484,2.228,1.303,1.287,1.131,1.506,1.017,3.427,0.338
194.4,0.512,0.453,2.288,1.357,1.362,1.134,1.545,1.002,3.241,0.381
206.0,0.482,0.455,2.232,1.504,1.342,1.217,1.506,1.091,3.294,0.363
207.6,0.583,0.462,2.156,1.273,1.334,1.115,1.453,1.024,3.237,0.380
199.4,0.569,0.455,2.242,1.434,1.441,1.261,1.451,1.059,3.329,0.369
198.1,0.559,0.463,2.191,1.316,1.303,1.119,1.599,1.088,3.410,0.354
200.9,0.617,0.469,2.139,1.342,1.418,1.171,1.338,1.114,3.221,0.361
191.8,0.560,0.469,2.181,1.337,1.389,1.192,1.435,1.001,3.122,0.350
208.1,0.544,0.453,2.157,1.312,1.453,1.082,1.404,1.018,3.212,0.392
199.3,0.568,0.440,2.089,1.372,1.386,1.157,1.462,1.013,3.322,0.363
212.1,0.573,0.477,2.207,1.387,1.344,1.162,1.448,1.083,3.381,0.377
210.8,0.472,0.458,2.285,1.658,1.379,1.167,1.618,1.140,3.306,0.389
211.3,0.576,0.460,2.177,1.264,1.473,1.304,1.475,0.951,3.375,0.365
194.2,0.465,0.458,2.296,1.474,1.242,1.034,1.682,0.944,3.101,0.388
199.3,0.541,0.482,2.139,1.406,1.401,1.171,1.556,0.962,3.357,0.349
201.7,0.535,0.463,2.296,1.340,1.356,1.174,1.525,1.025,3.225,0.396
200.9,0.492,0.453,2.360,1.420,1.228,1.139,1.459,1.035,3.184,0.377
222.0,0.623,0.455,2.040,1.452,1.280,1.166,1.389,1.092,3.343,0.405
218.6,0.518,0.463,2.129,1.298,1.411,1.188,1.462,0.962,3.319,0.393
207.8,0.565,0.488,2.199,1.323,1.394,1.203,1.471,1.089,3.316,0.370
199.1,0.555,0.480,2.309,1.292,1.291,1.149,1.548,0.971,3.233,0.366
208.0,0.531,0.485,2.213,1.240,1.363,1.183,1.520,0.953,3.462,0.377
217.3,0.564,0.464,2.054,1.275,1.314,1.074,1.391,1.049,3.408,0.384
226.1,0.713,0.482,1.962,1.238,1.378,1.264,1.260,1.064,3.312,0.394
207.7,0.509,0.453,2.264,1.332,1.322,1.106,1.408,1.014,3.255,0.385
194.7,0.564,0.473,2.118,1.343,1.294,1.153,1.450,1.064,3.309,0.342
193.5,0.512,0.472,2.141,1.285,1.405,1.211,1.605,0.927,3.394,0.358
212.9,0.578,0.462,2.152,1.343,1.293,1.206,1.417,1.051,3.234,0.384
225.9,0.647,0.460,2.058,1.296,1.248,1.192,1.481,1.071,3.338,0.387
223.1,0.602,0.462,2.045,1.275,1.393,1.253,1.471,0.997,3.188,0.396
209.2,0.555,0.459,2.151,1.376,1.476,1.124,1.473,1.029,3.222,0.395
202.1,0.571,0.486,2.079,1.291,1.253,1.166,1.606,0.936,3.493,0.363
210.5,0.553,0.466,2.109,1.286,1.346,1.130,1.590,0.971,3.227,0.400
194.7,0.581,0.476,2.133,1.306,1.313,1.237,1.436,1.045,3.354,0.368
205.0,0.516,0.478,2.191,1.455,1.487,1.279,1.475,1.055,3.425,0.386
232.7,0.730,0.481,2.056,1.199,1.364,1.314,1.242,0.985,3.204,0.376
216.6,0.562,0.450,2.060,1.218,1.377,1.129,1.517,1.010,3.344,0.419
204.7,0.530,0.468,2.199,1.390,1.408,1.210,1.515,1.023,3.194,0.364
219.4,0.538,0.468,2.164,1.305,1.314,1.153,1.586,1.059,3.283,0.401
207.3,0.624,0.468,2.096,1.246,1.314,1.142,1.406,1.009,3.341,0.379
195.7,0.519,0.467,2.256,1.350,1.293,1.075,1.546,1.018,3.176,0.377
197.7,0.588,0.466,2.198,1.319,1.345,1.134,1.487,1.013,3.236,0.368
209.3,0.582,0.474,2.025,1.320,1.379,1.283,1.414,1.007,3.431,0.379
204.3,0.517,0.478,2.154,1.374,1.301,1.113,1.529,0.970,3.280,0.402
207.8,0.524,0.480,2.157,1.252,1.374,1.166,1.460,0.999,3.410,0.377
219.5,0.542,0.462,2.049,1.235,1.378,1.238,1.381,0.992,3.295,0.378
207.3,0.570,0.485,2.098,1.305,1.396,1.194,1.450,1.035,3.323,0.374
212.1,0.510,0.474,2.198,1.541,1.427,1.249,1.421,1.099,3.410,0.389
205.0,0.510,0.466,2.183,1.278,1.247,1.140,1.544,0.980,3.416,0.391
198.8,0.519,0.474,2.285,1.458,1.368,1.198,1.489,1.031,3.418,0.369
195.0,0.492,0.466,2.160,1.241,1.291,1.157,1.515,0.971,3.232,0.344
204.2,0.485,0.470,2.191,1.268,1.233,1.007,1.467,0.957,3.423,0.376
211.3,0.577,0.455,2.130,1.222,1.295,1.130,1.483,1.084,3.177,0.394
199.2,0.545,0.470,2.300,1.347,1.306,1.145,1.477,1.071,3.331,0.352
209.3,0.545,0.481,2.097,1.375,1.354,1.158,1.515,1.103,3.291,0.373
205.9,0.557,0.456,2.078,1.212,1.374,1.130,1.619,0.992,3.272,0.387
207.0,0.581,0.459,2.036,1.253,1.289,1.158,1.452,1.039,3.315,0.389
201.1,0.498,0.485,2.265,1.344,1.384,1.138,1.615,1.034,3.587,0.372
200.2,0.492,0.461,2.197,1.309,1.334,1.071,1.555,0.965,3.335,0.376
219.6,0.609,0.487,1.962,1.268,1.282,1.213,1.489,1.059,3.246,0.372
196.3,0.563,0.506,2.151,1.307,1.505,1.216,1.592,1.038,3.335,0.350
223.2,0.609,0.463,1.963,1.315,1.259,1.240,1.384,1.067,3.256,0.431
203.0,0.558,0.464,2.123,1.249,1.276,1.119,1.604,0.996,3.224,0.375
198.4,0.500,0.453,2.098,1.380,1.285,1.133,1.671,0.965,3.236,0.361
213.0,0.603,0.492,1.954,1.283,1.250,1.233,1.370,1.085,3.368,0.386
203.7,0.600,0.460,2.022,1.349,1.382,1.240,1.469,1.111,3.222,0.380
201.3,0.532,0.467,2.086,1.339,1.382,1.274,1.520,0.997,3.490,0.361
201.6,0.607,0.459,2.017,1.328,1.421,1.223,1.413,1.123,3.292,0.378
204.9,0.597,0.480,2.056,1.299,1.269,1.201,1.370,1.053,3.385,0.357
183.9,0.499,0.470,2.337,1.456,1.481,1.199,1.496,1.034,3.360,0.349
210.2,0.570,0.461,2.176,1.214,1.303,1.178,1.458,1.091,3.267,0.377
216.5,0.522,0.472,2.151,1.448,1.335,1.153,1.503,1.067,3.307,0.388
186.6,0.545,0.479,2.076,1.445,1.261,1.106,1.418,1.025,3.369,0.342
189.5,0.601,0.479,2.012,1.228,1.344,1.135,1.425,1.044,3.285,0.333
199.0,0.547,0.447,2.137,1.354,1.275,1.078,1.506,0.932,3.243,0.378
201.5,0.643,0.484,2.052,1.346,1.288,1.184,1.476,1.166,3.288,0.359
211.3,0.612,0.466,1.924,1.256,1.258,1.200,1.336,1.045,3.433,0.381
199.5,0.572,0.484,1.998,1.275,1.375,1.121,1.525,0.947,3.264,0.365
201.5,0.559,0.470,1.950,1.324,1.314,1.168,1.552,1.034,3.303,0.375
233.2,0.718,0.454,1.782,1.131,1.556,1.224,1.296,1.006,3.008,0.398
198.5,0.559,0.478,2.195,1.411,1.343,1.304,1.542,1.076,3.502,0.365
203.3,0.557,0.472,2.038,1.313,1.332,1.218,1.531,0.960,3.399,0.372
217.7,0.600,0.442,2.059,1.333,1.463,1.265,1.408,1.126,3.200,0.399
209.0,0.627,0.470,2.031,1.287,1.340,1.195,1.474,1.090,3.297,0.374
212.2,0.496,0.440,2.030,1.374,1.266,1.141,1.558,0.965,3.168,0.390
207.9,0.574,0.462,2.078,1.348,1.345,1.142,1.418,1.074,3.351,0.371
207.1,0.517,0.458,2.168,1.404,1.376,1.242,1.640,1.044,3.306,0.384
187.5,0.505,0.468,2.164,1.417,1.338,1.135,1.558,0.954,3.302,0.369
196.9,0.591,0.484,2.051,1.306,1.212,1.155,1.390,0.959,3.356,0.371
200.8,0.546,0.454,2.240,1.392,1.340,1.153,1.446,0.991,3.303,0.373
211.0,0.535,0.457,2.069,1.346,1.302,1.121,1.548,1.015,3.259,0.390
214.3,0.584,0.471,2.052,1.305,1.349,1.261,1.419,1.038,3.328,0.398
222.9,0.595,0.492,2.190,1.371,1.186,1.173,1.376,1.073,3.416,0.404
194.3,0.539,0.479,2.187,1.405,1.413,1.167,1.604,1.043,3.341,0.359
216.1,0.658,0.470,2.110,1.206,1.385,1.284,1.416,1.170,3.326,0.376
203.5,0.528,0.456,2.242,1.407,1.441,1.194,1.501,1.035,3.434,0.365
196.3,0.508,0.480,2.318,1.438,1.287,1.126,1.518,0.999,3.493,0.383
206.7,0.486,0.464,2.290,1.457,1.345,1.185,1.600,1.009,3.285,0.374
206.1,0.537,0.466,2.211,1.454,1.440,1.140,1.473,1.067,3.262,0.367
196.9,0.520,0.446,2.186,1.532,1.384,1.235,1.605,1.051,3.221,0.385
184.5,0.523,0.482,2.196,1.369,1.372,1.199,1.625,0.963,3.468,0.345
211.7,0.635,0.468,1.999,1.218,1.298,1.163,1.359,1.059,3.302,0.387
202.8,0.535,0.462,2.172,1.267,1.383,1.154,1.448,0.965,3.218,0.390
197.2,0.514,0.473,2.162,1.355,1.285,1.190,1.632,0.942,3.385,0.361
204.2,0.565,0.459,2.098,1.236,1.285,1.118,1.528,1.069,3.397,0.368
211.0,0.529,0.466,2.096,1.269,1.310,1.228,1.430,1.008,3.315,0.391
209.4,0.552,0.461,2.121,1.267,1.324,1.150,1.480,1.028,3.392,0.394
206.2,0.571,0.478,2.011,1.319,1.337,1.195,1.455,1.070,3.412,0.373
224.6,0.638,0.471,1.959,1.130,1.363,1.288,1.413,1.065,3.320,0.391
200.4,0.547,0.469,2.076,1.413,1.374,1.233,1.450,1.043,3.369,0.378
190.1,0.624,0.484,1.961,1.292,1.254,1.073,1.375,0.987,3.361,0.347
194.3,0.523,0.451,2.226,1.276,1.286,1.202,1.557,1.012,3.259,0.358
216.0,0.603,0.456,1.947,1.180,1.343,1.200,1.599,0.988,3.271,0.369
198.9,0.504,0.468,2.251,1.447,1.379,1.252,1.498,1.143,3.460,0.370
204.5,0.554,0.482,2.070,1.312,1.430,1.206,1.600,1.109,3.206,0.372
217.3,0.501,0.453,2.196,1.349,1.287,1.133,1.524,0.980,3.348,0.378
218.7,0.611,0.468,1.991,1.199,1.358,1.106,1.324,1.011,3.257,0.391
216.1,0.605,0.473,1.973,1.242,1.252,1.139,1.457,1.088,3.242,0.385
208.4,0.560,0.459,2.177,1.347,1.339,1.178,1.566,1.033,3.247,0.382
209.3,0.590,0.465,2.037,1.264,1.467,1.128,1.343,0.968,3.215,0.390
192.2,0.503,0.467,2.204,1.363,1.201,1.150,1.648,0.998,3.285,0.366
198.7,0.540,0.464,2.176,1.314,1.179,1.090,1.581,1.014,3.295,0.382
195.1,0.534,0.461,2.180,1.304,1.310,1.205,1.564,1.001,3.311,0.367
202.8,0.548,0.467,2.196,1.360,1.250,1.080,1.585,1.103,3.194,0.370
206.9,0.573,0.463,2.055,1.249,1.298,1.077,1.512,0.985,3.348,0.384
193.0,0.517,0.466,2.413,1.422,1.394,1.275,1.477,1.121,3.497,0.373
183.6,0.586,0.474,2.124,1.261,1.391,1.276,1.557,0.963,3.453,0.323
212.9,0.526,0.466,2.202,1.338,1.439,1.250,1.454,1.068,3.392,0.368
198.6,0.617,0.480,2.033,1.251,1.454,1.192,1.466,0.935,3.432,0.380
204.2,0.512,0.469,2.413,1.424,1.555,1.152,1.410,1.036,3.384,0.378
207.4,0.638,0.474,2.065,1.255,1.417,1.154,1.428,0.981,3.207,0.354
220.9,0.581,0.451,2.032,1.320,1.340,1.222,1.466,1.038,3.356,0.378
215.2,0.563,0.473,2.186,1.299,1.281,1.156,1.453,1.058,3.413,0.387
193.0,0.585,0.469,2.120,1.340,1.362,1.131,1.500,1.047,3.222,0.345
215.4,0.561,0.459,2.149,1.373,1.383,1.187,1.495,1.065,3.244,0.421
205.7,0.496,0.464,2.345,1.473,1.415,1.178,1.422,1.092,3.260,0.373
212.7,0.465,0.458,2.307,1.207,1.321,1.051,1.568,0.996,3.075,0.400
193.9,0.566,0.476,2.089,1.379,1.351,1.161,1.428,1.092,3.304,0.333
211.8,0.552,0.461,2.147,1.212,1.215,1.085,1.492,0.996,3.152,0.376
189.8,0.573,0.475,2.139,1.365,1.332,1.126,1.533,1.008,3.251,0.338
219.6,0.718,0.489,1.887,1.275,1.400,1.283,1.297,1.151,3.345,0.380
206.1,0.537,0.461,2.058,1.321,1.328,1.133,1.585,1.071,3.279,0.379
211.2,0.569,0.473,2.080,1.235,1.298,1.103,1.446,0.964,3.328,0.365
199.3,0.519,0.480,2.349,1.228,1.388,1.053,1.597,1.033,3.491,0.372
210.6,0.547,0.466,2.168,1.375,1.305,1.171,1.476,1.061,3.287,0.368
204.6,0.579,0.475,2.189,1.360,1.463,1.231,1.553,1.077,3.343,0.372
194.9,0.563,0.502,2.168,1.391,1.350,1.132,1.561,1.012,3.405,0.365
218.9,0.518,0.465,2.117,1.267,1.322,1.114,1.477,1.021,3.246,0.403
196.5,0.564,0.473,2.240,1.380,1.288,1.107,1.458,1.062,3.364,0.362
203.1,0.557,0.462,2.284,1.213,1.343,1.075,1.444,1.041,3.240,0.374
198.9,0.589,0.468,2.107,1.333,1.397,1.160,1.432,1.042,3.386,0.374
210.4,0.566,0.451,1.983,1.335,1.332,1.186,1.373,1.066,3.371,0.396
222.3,0.544,0.462,2.203,1.357,1.481,1.292,1.507,1.062,3.267,0.394
203.3,0.538,0.459,2.180,1.332,1.353,1.244,1.586,1.014,3.110,0.410
207.0,0.517,0.463,2.087,1.256,1.259,1.163,1.573,1.007,3.314,0.389
202.4,0.557,0.469,2.115,1.404,1.302,1.093,1.523,1.081,3.303,0.382
207.9,0.551,0.482,2.039,1.183,1.473,1.165,1.601,0.952,3.388,0.379
207.5,0.517,0.468,2.159,1.405,1.358,1.187,1.509,1.062,3.338,0.360
213.8,0.576,0.462,1.962,1.272,1.354,1.204,1.362,1.029,3.298,0.386
202.4,0.536,0.458,2.222,1.451,1.337,1.137,1.515,1.049,3.297,0.378
211.7,0.642,0.457,1.990,1.231,1.259,1.205,1.324,1.076,3.134,0.363
205.1,0.674,0.466,1.989,1.260,1.330,1.148,1.396,1.165,3.195,0.394
193.9,0.515,0.471,2.216,1.461,1.396,1.091,1.485,1.015,3.273,0.380
211.8,0.508,0.450,2.146,1.399,1.324,1.209,1.532,1.052,3.295,0.412
210.7,0.589,0.462,2.107,1.257,1.440,1.228,1.375,1.066,3.213,0.386
195.2,0.516,0.469,2.259,1.378,1.412,1.108,1.614,1.074,3.376,0.366
196.4,0.525,0.475,2.132,1.385,1.382,1.163,1.572,1.038,3.209,0.361
201.5,0.519,0.481,2.402,1.326,1.304,1.114,1.573,1.065,3.428,0.367
211.4,0.529,0.456,2.138,1.246,1.405,1.137,1.527,0.971,3.295,0.383
208.9,0.613,0.478,2.155,1.274,1.336,1.130,1.428,1.024,3.401,0.378
198.1,0.469,0.463,2.237,1.399,1.360,1.023,1.666,0.979,3.283,0.373
207.2,0.593,0.483,2.115,1.306,1.216,1.175,1.463,1.120,3.257,0.369
204.3,0.508,0.456,2.267,1.415,1.312,1.096,1.542,1.067,3.291,0.396
212.9,0.539,0.463,2.158,1.343,1.359,1.119,1.537,1.054,3.242,0.392
212.5,0.500,0.461,2.224,1.242,1.361,1.120,1.488,0.942,3.240,0.405
215.2,0.632,0.474,1.895,1.373,1.276,1.163,1.404,1.106,3.227,0.390
216.5,0.633,0.480,2.013,1.300,1.349,1.215,1.336,1.034,3.502,0.411
212.4,0.535,0.460,2.103,1.361,1.406,1.093,1.467,1.042,3.266,0.405
209.4,0.583,0.456,2.164,1.295,1.241,1.162,1.505,1.039,3.212,0.369
199.1,0.524,0.449,2.074,1.366,1.458,1.151,1.716,1.038,3.177,0.393
197.7,0.501,0.449,2.216,1.281,1.295,1.161,1.675,1.010,3.286,0.369
219.8,0.649,0.470,2.035,1.248,1.309,1.221,1.277,1.042,3.196,0.400
214.2,0.496,0.446,2.174,1.328,1.355,1.096,1.598,1.005,3.223,0.421
195.3,0.481,0.471,2.255,1.487,1.306,1.155,1.582,1.046,3.253,0.388
194.9,0.530,0.501,2.329,1.353,1.445,1.197,1.489,1.029,3.519,0.365
202.2,0.534,0.452,2.104,1.317,1.289,1.185,1.568,0.985,3.205,0.380
210.4,0.601,0.471,2.034,1.262,1.356,1.243,1.366,1.079,3.325,0.393
220.0,0.647,0.483,2.071,1.189,1.440,1.154,1.385,0.987,3.392,0.379
216.1,0.643,0.463,1.888,1.226,1.246,1.204,1.319,1.011,3.210,0.390
206.1,0.507,0.473,2.263,1.207,1.225,1.153,1.515,0.974,3.239,0.399
213.7,0.637,0.450,1.977,1.328,1.268,1.194,1.317,1.058,3.218,0.407
191.1,0.562,0.464,2.186,1.346,1.341,1.088,1.519,1.041,3.241,0.366
209.7,0.563,0.468,1.973,1.348,1.276,1.180,1.466,1.114,3.210,0.370
211.0,0.531,0.452,2.097,1.315,1.366,1.138,1.449,1.015,3.406,0.380
203.6,0.609,0.454,2.065,1.193,1.354,1.227,1.391,1.082,3.143,0.379
210.8,0.563,0.464,2.091,1.343,1.356,1.170,1.448,1.083,3.268,0.372
200.5,0.547,0.464,2.104,1.342,1.191,1.206,1.454,1.053,3.217,0.382
209.1,0.560,0.463,2.168,1.281,1.327,1.180,1.524,1.094,3.316,0.403
218.8,0.584,0.457,1.971,1.274,1.236,1.127,1.365,0.976,3.298,0.423
201.0,0.560,0.488,2.159,1.351,1.288,1.195,1.494,0.992,3.352,0.365
221.1,0.566,0.456,2.146,1.377,1.368,1.135,1.301,1.095,3.202,0.401
201.7,0.513,0.459,2.141,1.328,1.390,1.129,1.587,0.999,3.213,0.349
211.6,0.578,0.447,1.904,1.296,1.315,1.173,1.561,1.012,3.164,0.394
196.2,0.530,0.484,2.236,1.457,1.176,1.113,1.638,1.085,3.246,0.368
200.7,0.570,0.466,2.068,1.321,1.266,1.206,1.504,1.119,3.177,0.385
215.6,0.666,0.461,1.850,1.224,1.402,1.143,1.304,0.979,3.289,0.383
189.5,0.615,0.486,2.038,1.291,1.293,1.127,1.465,1.055,3.400,0.344
193.2,0.498,0.466,2.281,1.428,1.365,1.179,1.613,1.082,3.316,0.361
191.7,0.580,0.481,2.188,1.277,1.338,1.118,1.504,1.032,3.317,0.364
208.3,0.549,0.458,2.102,1.284,1.264,1.162,1.458,1.036,3.271,0.387
205.0,0.519,0.452,2.223,1.325,1.368,1.133,1.455,1.060,3.279,0.399
208.9,0.556,0.466,2.058,1.315,1.389,1.105,1.603,1.059,3.277,0.436
200.2,0.569,0.467,2.049,1.278,1.340,1.154,1.538,0.967,3.348,0.370
209.6,0.547,0.471,2.104,1.234,1.238,1.156,1.468,1.033,3.294,0.392
205.3,0.527,0.466,2.159,1.240,1.219,1.173,1.592,1.029,3.245,0.392
209.1,0.628,0.472,2.036,1.284,1.272,1.201,1.445,1.047,3.341,0.401
211.6,0.596,0.463,2.073,1.198,1.410,1.170,1.489,1.001,3.275,0.386
211.7,0.612,0.474,2.062,1.298,1.379,1.157,1.309,1.078,3.397,0.377
199.9,0.531,0.470,2.104,1.245,1.219,1.124,1.602,1.028,3.106,0.370
199.1,0.426,0.462,2.289,1.338,1.368,1.075,1.672,0.940,3.223,0.379
205.0,0.657,0.489,2.043,1.235,1.386,1.140,1.363,1.056,3.312,0.371
204.2,0.592,0.472,1.953,1.291,1.263,1.154,1.560,1.090,3.283,0.380
207.3,0.601,0.473,2.057,1.329,1.258,1.128,1.342,1.116,3.181,0.378
196.7,0.438,0.477,2.251,1.342,1.208,1.066,1.710,0.976,3.349,0.370
