INDICATOR,MATCHUP,SCORE
FirstDowns,ABC_Defense x XYZ_Offense,20.5
FirstDowns,ABC_Offense x XYZ_Defense,20.5
RushAtt,ABC_Defense x XYZ_Offense,20.5
RushAtt,ABC_Offense x XYZ_Defense,20.5
RushYds,ABC_Defense x XYZ_Offense,20.5
RushYds,ABC_Offense x XYZ_Defense,20.5
RushTDs,ABC_Defense x XYZ_Offense,20.5
RushTDs,ABC_Offense x XYZ_Defense,20.5
PassComp,ABC_Defense x XYZ_Offense,20.5
PassComp,ABC_Offense x XYZ_Defense,20.5
PassAtt,ABC_Defense x XYZ_Offense,20.5
PassAtt,ABC_Offense x XYZ_Defense,20.5
PassYds,ABC_Defense x XYZ_Offense,20.5
PassYds,ABC_Offense x XYZ_Defense,20.5
PassTD,ABC_Defense x XYZ_Offense,20.5
PassTD,ABC_Offense x XYZ_Defense,20.5
PassINT,ABC_Defense x XYZ_Offense,20.5
PassINT,ABC_Offense x XYZ_Defense,20.5
SackedYards,ABC_Defense x XYZ_Offense,20.5
SackedYards,ABC_Offense x XYZ_Defense,20.5
Turnovers,ABC_Defense x XYZ_Offense,20.5
Turnovers,ABC_Offense x XYZ_Defense,20.5
PenaltyYds,ABC_Defense x XYZ_Offense,20.5
PenaltyYds,ABC_Offense x XYZ_Defense,20.5
TimeofPossession,ABC_Defense x XYZ_Offense,20.5
TimeofPossession,ABC_Offense x XYZ_Defense,20.5
