MATCHUP,TEAM_A,TEAM_B,SCORE_A,SCORE_B,POINT_SPREAD (A - B),VEGAS_LINE
ABC_vs_XYZ,ABC,XYZ,20.52,20.52,0.0,PICK
ARI_vs_MIA,ARI,MIA,20.2,15.5,4.7,ARI -4.5
ATL_vs_TAM,ATL,TAM,23.65,25.74,-2.09,TAM -2.0
BAL_vs_CLE,BAL,CLE,25.88,17.38,8.5,BAL -8.5
BUF_vs_SEA,BUF,SEA,26.44,23.63,2.81,BUF -3.0
CAR_vs_DEN,CAR,DEN,14.91,28.77,-13.87,DEN -14.0
CHI_vs_WAS,CHI,WAS,25.27,20.1,5.17,CHI -5.0
DAL_vs_SFO,DAL,SFO,21.56,24.66,-3.1,SFO -3.0
GNB_vs_JAX,GNB,JAX,28.09,16.89,11.2,GNB -11.0
IND_vs_HOU,IND,HOU,23.24,23.62,-0.39,HOU -0.5
KAN_vs_LVR,KAN,LVR,24.22,17.57,6.65,KAN -6.5
MIN_vs_LAR,MIN,LAR,26.18,17.09,9.09,MIN -9.0
NOR_vs_LAC,NOR,LAC,16.28,19.18,-2.9,LAC -3.0
NYG_vs_PIT,NYG,PIT,14.38,19.51,-5.13,PIT -5.0
NYJ_vs_NWE,NYJ,NWE,20.15,15.0,5.15,NYJ -5.0
PHI_vs_CIN,PHI,CIN,21.96,24.53,-2.57,CIN -2.5
TEN_vs_DET,TEN,DET,17.79,22.74,-4.94,DET -5.0
