,MIA,ATL
Points,,
First Downs,24,11
Rush Att,37,17
Rush Yds,141,45
Rush TDs,0,1
Pass Comp,21,21
Pass Att,27,31
Pass Yds,205,173
Pass TD,4,0
Pass INT,0,0
Sacks Taken,1,1
Sacked Yards,8,5
Net Pass Yards,197,168
Total Yards,338,213
Fumbles,0,1
Fumbles Lost,0,1
Turnovers,0,1
Penalties,4,8
Penalty Yds,54,76
3D Conv,6,2
3D Conv Yards,13,11
4D Conv,1,2
4D Conv Yards,2,4
Time of Possession,37:58,22:02
