,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
SIZE_0,0.43785074561525233,-0.09623607623011797,-0.15577929424830528,0.3226805140302423,-0.24529584652148395,-0.10526209399299966,0.013001431178979783,0.04487530206267265,0.7692673302281329,-0.07369005012861099
SHAPE_1,0.4674122328370282,0.19400901610907506,0.2181758545794636,-0.11875652156918064,0.028841083016656992,-0.1083908792702347,0.017144484084774085,-0.03860267559476692,-0.07348320392051326,0.8138907908260311
SHAPE_2,-0.08643528029208594,0.628307081858551,-0.08168715301210237,0.17198770706193736,0.05640003520012805,-0.00023134693553808713,0.7176609811290239,-0.1879313632272702,0.048735381387351714,-0.07479943080726521
SHAPE_3,-0.3343434690925971,0.028181496967886892,-0.21229275282164825,-0.1131708652886558,-0.6217498213836932,-0.5747411295034908,0.07933519485899783,0.2637775442887803,-0.07856507641972826,0.1749258319180589
SHAPE_5,0.2213660542270496,-0.07700006883604346,-0.2888916681787897,-0.6801856380442272,-0.26422817069739485,0.4760761854378856,0.27450516620355625,0.14680939256057715,0.053909443069220894,-0.05176667548504889
SHAPE_6,0.40065551516379266,0.17945875918574777,-0.17013760742897557,-0.31535977819704125,-0.0022141055423863716,-0.4510633183523992,-0.21396238723245356,-0.5139684248683815,-0.17190877178069663,-0.36866248331059015
SHAPE_7,-0.4294433290682394,-0.15821794481078696,-0.3115788414329868,-0.08967792394486587,0.00777521889844755,0.12123701809933174,-0.08359349738199574,-0.6652003425042706,0.2936352925816915,0.3673718585825955
SHAPE_8,-0.05751869029779015,-0.12028321919917244,0.7685433858298789,-0.09269997488767882,-0.4687166336760359,0.08070787086997845,0.13734454147973882,-0.33419135449190907,0.07734002237495335,-0.1422442249834568
SHAPE_9,-0.027474913511119105,0.5886692519388915,-0.07713147021462739,0.17532627072589987,-0.4019333529924458,0.40509908138493406,-0.5350330939467679,-0.004212113239451067,-0.06378384335502096,-0.0047809903934915386
SHAPE_10,0.2693386360550266,-0.36519613566775017,-0.26513454822104393,0.4794869652236151,-0.31323593317784654,0.17725630362223047,0.21203979710101487,-0.22735349581139352,-0.5153154258341536,0.04633983620042415
