,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
SHAPE_1,0.4949961509709025,-0.06660041367306858,0.21664027147650575,-0.0762090118705384,0.022262352759384207,-0.08120502593974663,-0.05349616683204593,-0.06627586896748297,-0.09011023090550259,0.8217897065135649
SHAPE_2,-0.03334731398945301,-0.6390040532367672,0.03473920122154617,0.1374088882116287,0.02020824548399937,0.18984905119374706,-0.6907615840125212,-0.07591578176034043,-0.20988304350366904,-0.08400632531400867
SHAPE_3,-0.32667370873634377,-0.14053032638486557,-0.22082372365332292,-0.3852687422365098,-0.3892370782650318,-0.6200200844760708,-0.21351622300684245,-0.06286587251113028,0.2517656383691949,0.16577923388298646
SHAPE_4,-0.43430993118030903,0.13481940064428502,0.1616916570563346,-0.020700449341838054,-0.04358998240096118,0.3750434238672872,-0.1876265065661592,0.6404880596985149,0.2589321913965002,0.3340564557791047
SHAPE_5,0.23150797436476442,0.13681669237558092,-0.37525120789448696,-0.6369025678373857,-0.12235848170126999,0.5484039339568066,-0.1403378623936396,-0.18489631830811912,0.0983273761113143,-0.04425822733923728
SHAPE_6,0.4285298053396547,-0.0879956397734153,-0.18661317097169927,-0.22095002435128047,0.06085977785791886,-0.26791433301758816,-0.03780024624742096,0.72577030396922,-0.2555992344671315,-0.23662464089393379
SHAPE_7,-0.42542975006043277,0.03290151883690392,-0.35777904549459144,-0.08070605770075501,0.09153208668436402,0.04774634768654912,0.16946930956417863,-0.018431484116482138,-0.7537418802640958,0.27488812180953764
SHAPE_8,-0.08433755066054817,0.17152185621885796,0.7344996180947232,-0.4079765762214358,-0.2558505181776018,-0.021394548314001824,-0.0669830570759226,-0.05513105245741078,-0.3732068660871698,-0.21167454390394966
SHAPE_9,0.01354599059383664,-0.5973082040872487,0.05095410036826831,-0.012569745658880676,-0.48952943564617557,0.23224973632564133,0.5789380144520638,0.1016294151494505,0.031638684446947216,0.014398585916162495
SHAPE_10,0.1816739223562061,0.36820072476495685,-0.17670051628756764,0.4459487912564916,-0.7166158212656902,0.05548208295740147,-0.22292226245663765,0.0320991823334863,-0.18435564289068648,0.0011058256452977234
