,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
SIZE_0,0.3986087314316126,0.26440092981772895,-0.10310618349918406,0.2492808598493258,-0.2832986851584584,-0.026714140013977455,0.01983472440758513,0.0397237104141497,0.7815952304437254,0.06780200123922865
SHAPE_1,0.4444619021804679,-0.17550090725397435,0.24576535281128806,-0.07626840711408045,-0.03235999973800725,0.03888671137904192,-0.06222348798940678,-0.09340311940119893,-0.18489770084665272,0.8099957775459292
SHAPE_2,-0.05288408100267102,-0.6500607929921485,-0.02284082519457159,0.3547918152565798,-0.3000541278307297,-0.5622626491528675,-0.00761721378561998,-0.1899059094021832,0.019048170883548862,-0.07462190345936093
SHAPE_3,-0.29390469489153415,-0.04970148385641692,-0.24453531058703953,-0.19014412952071266,-0.7931157630469775,0.2883455429657007,-0.03415857369635141,0.25202986819490525,-0.10860525559183273,0.16291333525786955
SHAPE_4,-0.3947538136221676,0.22068864717553172,0.14507677284151346,0.004602664398158936,0.05519760716508379,-0.3864419339869568,0.658420533535116,0.25097443404912295,0.09199315735216664,0.3421181702190388
SHAPE_5,0.20252759339894905,0.04910029195393463,-0.2920504180431268,-0.7210281268683989,0.00987844350869492,-0.550595969170954,-0.17753422398583113,0.10720825250961102,0.05889492221476052,-0.04077501635800431
SHAPE_6,0.38452081172290126,-0.2110478880937545,-0.14563602803494033,-0.2375232397757752,-0.10162363307002058,0.23154044448545524,0.7232847582937035,-0.2767398216110725,-0.0801477009675989,-0.24471948745692368
SHAPE_7,-0.39158743619143066,0.07776173548363857,-0.36057821258537975,-0.10520988864073101,0.0962517862581276,0.06471698023734913,-0.04700720977716979,-0.7451564113590806,0.21035966925102798,0.29043929616295183
SHAPE_8,-0.08139208951035157,0.19938002647770986,0.7502926319404922,-0.2743246385952786,-0.3461280208463081,-0.0862090327460899,-0.06216050229508407,-0.3696898462721991,0.0704192820110046,-0.2066395461158909
SHAPE_10,0.22297612991243324,0.5768773670259569,-0.2194152104294077,0.3276690390135947,-0.23893274519930643,-0.2841956856100902,0.016110371931475923,-0.21706959848115714,-0.5245938705837335,-0.03937749403109775
