SHAPE_1,SHAPE_2,SHAPE_3,SHAPE_8,SHAPE_9
0.583,0.448,2.402,0.881,3.366
0.538,0.455,2.352,0.907,3.251
0.755,0.479,2.399,0.915,3.292
0.478,0.478,2.491,0.880,3.365
0.598,0.483,2.421,1.011,3.440
0.595,0.471,2.321,0.860,3.202
0.609,0.478,2.354,0.934,3.455
0.608,0.455,2.508,1.007,3.235
0.574,0.460,2.355,0.925,3.126
0.511,0.458,2.311,0.967,3.114
0.524,0.442,2.307,0.926,3.220
0.541,0.464,2.448,0.941,3.217
0.516,0.480,2.383,0.901,3.404
0.569,0.455,2.224,0.989,3.214
0.484,0.455,2.359,0.859,3.274
0.504,0.462,2.369,0.921,3.197
0.513,0.472,2.567,0.956,3.273
0.589,0.461,2.540,0.973,3.288
0.502,0.474,2.437,0.945,3.210
0.511,0.449,2.440,0.903,3.066
0.592,0.467,2.332,0.966,3.306
0.690,0.471,2.347,0.892,3.160
0.578,0.444,2.457,0.929,3.225
0.499,0.456,2.417,0.939,3.294
0.499,0.458,2.349,0.842,3.071
0.622,0.444,2.296,0.909,3.225
0.566,0.457,2.339,0.896,3.187
0.639,0.466,2.356,0.948,3.409
0.518,0.474,2.417,0.942,3.379
0.534,0.450,2.437,0.962,3.186
0.536,0.434,2.383,0.970,3.030
0.513,0.482,2.575,0.950,3.446
0.539,0.455,2.406,0.902,3.363
0.726,0.473,2.410,0.850,3.278
0.554,0.463,2.499,0.926,3.299
0.520,0.462,2.382,0.895,3.195
0.494,0.469,2.526,0.969,3.291
0.573,0.456,2.575,0.940,3.258
0.537,0.476,2.265,0.881,3.151
0.547,0.456,2.354,0.936,3.396
0.658,0.446,2.369,0.941,3.167
0.580,0.451,2.333,0.852,3.196
0.545,0.450,2.312,0.942,3.110
0.498,0.478,2.448,0.882,3.132
0.521,0.473,2.408,0.915,3.337
0.504,0.482,2.554,0.934,3.142
0.517,0.467,2.375,0.854,3.137
0.565,0.448,2.435,0.983,3.333
0.552,0.452,2.445,0.941,3.371
0.524,0.452,2.480,0.917,3.299
0.600,0.458,2.410,0.930,3.283
0.566,0.474,2.506,0.964,3.408
0.686,0.456,2.257,0.978,3.399
0.512,0.477,2.393,0.850,3.371
0.499,0.457,2.475,0.982,3.239
0.487,0.467,2.392,0.823,3.204
0.517,0.467,2.437,0.951,3.196
0.574,0.469,2.451,1.027,3.317
0.527,0.480,2.387,0.877,3.174
0.514,0.468,2.395,0.877,3.349
0.556,0.461,2.470,0.980,3.184
0.540,0.439,2.341,0.892,3.305
0.647,0.435,2.164,0.878,3.201
0.534,0.441,2.274,0.949,3.307
0.540,0.439,2.338,0.952,3.259
0.512,0.422,2.439,0.922,3.334
0.522,0.452,2.471,0.983,3.227
0.489,0.451,2.540,0.945,3.352
0.599,0.451,2.353,1.019,3.061
0.710,0.455,2.157,0.999,3.230
0.564,0.447,2.282,0.952,3.212
0.529,0.463,2.393,0.945,3.291
0.544,0.457,2.450,0.927,3.321
0.591,0.424,2.429,1.000,3.240
0.540,0.469,2.458,0.952,3.266
0.554,0.462,2.245,0.949,3.367
0.522,0.469,2.579,0.914,3.236
0.495,0.467,2.287,0.927,3.351
0.554,0.453,2.338,0.954,3.199
0.572,0.451,2.358,0.929,3.161
0.563,0.464,2.612,0.866,3.224
0.505,0.435,2.441,0.972,3.244
0.597,0.460,2.315,0.958,3.129
0.534,0.468,2.409,0.924,3.223
0.539,0.428,2.386,0.928,3.274
0.532,0.467,2.490,0.900,3.321
0.560,0.436,2.409,0.955,3.126
0.661,0.446,2.288,0.959,3.161
0.623,0.458,2.218,1.006,3.222
0.480,0.439,2.482,0.928,3.180
0.497,0.441,2.483,0.883,3.257
0.573,0.429,2.376,0.939,3.277
0.521,0.465,2.456,0.946,3.331
0.578,0.465,2.224,0.964,3.253
0.538,0.437,2.383,0.924,3.227
0.507,0.460,2.486,0.978,3.210
0.545,0.457,2.281,0.881,3.416
0.538,0.453,2.484,0.951,3.268
0.506,0.475,2.415,0.972,3.391
0.577,0.434,2.350,0.907,3.270
0.538,0.457,2.568,0.957,3.173
0.718,0.447,2.215,0.970,3.089
0.581,0.442,2.343,0.984,3.269
0.510,0.457,2.362,0.954,3.306
0.551,0.425,2.377,0.957,2.953
0.603,0.434,2.312,0.942,3.174
0.530,0.439,2.337,0.962,3.313
0.495,0.451,2.274,0.942,3.079
0.510,0.448,2.340,0.895,3.248
0.527,0.443,2.329,0.957,3.098
0.563,0.431,2.418,0.993,3.004
0.597,0.448,2.457,1.147,3.154
0.595,0.447,2.391,1.051,3.177
0.501,0.447,2.558,0.908,3.319
0.558,0.457,2.370,0.964,3.389
0.563,0.440,2.330,0.948,3.146
0.566,0.441,2.427,1.006,3.144
0.490,0.428,2.335,0.817,3.226
0.485,0.437,2.508,0.962,3.302
0.605,0.437,2.349,0.966,3.152
0.548,0.448,2.485,0.922,3.332
0.521,0.442,2.387,1.008,3.180
0.626,0.461,2.331,0.918,3.151
0.505,0.441,2.384,0.962,3.308
0.591,0.449,2.186,1.000,3.237
0.525,0.441,2.392,0.910,3.211
0.604,0.446,2.285,0.977,3.323
0.525,0.442,2.228,0.927,3.293
0.525,0.444,2.350,0.971,3.243
0.638,0.454,2.213,0.925,3.098
0.504,0.455,2.504,0.928,3.165
0.602,0.451,2.404,0.998,3.383
0.546,0.448,2.330,0.943,3.338
0.511,0.457,2.524,1.008,3.342
0.595,0.441,2.396,0.979,3.176
0.467,0.464,2.377,0.939,3.318
0.608,0.463,2.299,0.912,3.340
0.592,0.427,2.309,0.889,3.215
0.487,0.458,2.302,0.883,3.200
0.495,0.452,2.458,0.954,3.076
0.562,0.447,2.368,0.913,3.152
0.475,0.444,2.432,0.933,3.096
0.471,0.446,2.388,0.932,3.228
0.514,0.459,2.508,0.946,3.194
0.539,0.471,2.296,0.883,3.425
0.758,0.445,2.269,0.938,3.155
0.519,0.450,2.400,0.921,3.200
0.537,0.454,2.275,0.993,3.137
0.576,0.466,2.381,0.983,3.431
0.485,0.453,2.404,0.920,3.255
0.504,0.441,2.622,0.986,3.089
0.505,0.456,2.604,1.029,3.114
0.579,0.468,2.258,0.957,3.237
0.550,0.472,2.441,0.935,3.330
0.776,0.478,2.136,0.982,3.298
0.613,0.444,2.331,0.931,3.234
0.500,0.444,2.351,0.894,3.196
0.624,0.458,2.466,0.905,3.236
0.510,0.443,2.306,0.943,3.215
0.480,0.444,2.446,0.862,3.169
0.537,0.440,2.396,0.827,3.132
