SHAPE_1,SHAPE_2,SHAPE_5,SHAPE_7,SHAPE_8
0.748,0.488,1.291,1.349,0.972
0.603,0.475,1.346,1.386,1.051
0.590,0.487,1.223,1.383,1.112
0.528,0.460,1.468,1.448,1.019
0.587,0.478,1.292,1.424,1.076
0.593,0.484,1.287,1.506,1.017
0.512,0.453,1.362,1.545,1.002
0.482,0.455,1.342,1.506,1.091
0.583,0.462,1.334,1.453,1.024
0.569,0.455,1.441,1.451,1.059
0.559,0.463,1.303,1.599,1.088
0.617,0.469,1.418,1.338,1.114
0.560,0.469,1.389,1.435,1.001
0.544,0.453,1.453,1.404,1.018
0.568,0.440,1.386,1.462,1.013
0.573,0.477,1.344,1.448,1.083
0.472,0.458,1.379,1.618,1.140
0.576,0.460,1.473,1.475,0.951
0.465,0.458,1.242,1.682,0.944
0.541,0.482,1.401,1.556,0.962
0.535,0.463,1.356,1.525,1.025
0.492,0.453,1.228,1.459,1.035
0.623,0.455,1.280,1.389,1.092
0.518,0.463,1.411,1.462,0.962
0.565,0.488,1.394,1.471,1.089
0.555,0.480,1.291,1.548,0.971
0.531,0.485,1.363,1.520,0.953
0.564,0.464,1.314,1.391,1.049
0.713,0.482,1.378,1.260,1.064
0.509,0.453,1.322,1.408,1.014
0.564,0.473,1.294,1.450,1.064
0.512,0.472,1.405,1.605,0.927
0.578,0.462,1.293,1.417,1.051
0.647,0.460,1.248,1.481,1.071
0.602,0.462,1.393,1.471,0.997
0.555,0.459,1.476,1.473,1.029
0.571,0.486,1.253,1.606,0.936
0.553,0.466,1.346,1.590,0.971
0.581,0.476,1.313,1.436,1.045
0.516,0.478,1.487,1.475,1.055
0.730,0.481,1.364,1.242,0.985
0.562,0.450,1.377,1.517,1.010
0.530,0.468,1.408,1.515,1.023
0.538,0.468,1.314,1.586,1.059
0.624,0.468,1.314,1.406,1.009
0.519,0.467,1.293,1.546,1.018
0.588,0.466,1.345,1.487,1.013
0.582,0.474,1.379,1.414,1.007
0.517,0.478,1.301,1.529,0.970
0.524,0.480,1.374,1.460,0.999
0.542,0.462,1.378,1.381,0.992
0.570,0.485,1.396,1.450,1.035
0.510,0.474,1.427,1.421,1.099
0.510,0.466,1.247,1.544,0.980
0.519,0.474,1.368,1.489,1.031
