,BUF,BAL
Points,10,35
First Downs,12,22
Rush Att,23,34
Rush Yds,81,271
Rush TDs,1,2
Pass Comp,17,14
Pass Att,31,19
Pass Yds,182,157
Pass TD,0,2
Pass INT,0,0
Sacks Taken,3,1
Sacked Yards,27,1
Net Pass Yards,155,156
Total Yards,236,427
Fumbles,2,2
Fumbles Lost,1,1
Turnovers,1,1
Penalties,4,8
Penalty Yds,38,79
3D Conv,3,5
3D Conv Yards,13,9
4D Conv,1,0
4D Conv Yards,1,0
Time of Possession,28:57,31:03
