,LAR,CHI
Points,18,24
First Downs,21,17
Rush Att,26,28
Rush Yds,119,131
Rush TDs,1,2
Pass Comp,20,17
Pass Att,29,23
Pass Yds,224,157
Pass TD,0,1
Pass INT,1,0
Sacks Taken,3,3
Sacked Yards,21,24
Net Pass Yards,203,133
Total Yards,322,264
Fumbles,1,1
Fumbles Lost,1,0
Turnovers,2,0
Penalties,6,10
Penalty Yds,44,84
3D Conv,5,3
3D Conv Yards,11,9
4D Conv,0,0
4D Conv Yards,0,0
Time of Possession,31:02,28:58
