,TEN,MIA
Points,31,12
First Downs,16,13
Rush Att,40,30
Rush Yds,142,106
Rush TDs,2,1
Pass Comp,12,14
Pass Att,21,22
Pass Yds,110,96
Pass TD,0,0
Pass INT,1,0
Sacks Taken,1,2
Sacked Yards,8,18
Net Pass Yards,102,78
Total Yards,244,184
Fumbles,0,1
Fumbles Lost,0,1
Turnovers,1,1
Penalties,8,10
Penalty Yds,69,98
3D Conv,2,2
3D Conv Yards,12,12
4D Conv,1,1
4D Conv Yards,1,3
Time of Possession,34:52,25:08
