Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6,week_7
Points,10,3,36,24,10,20,7
First Downs,11,7,24,24,14,21,10
Rush Att,20,18,31,29,19,24,23
Rush Yds,58,90,131,155,120,114,95
Rush TDs,1,0,1,1,1,0,1
Pass Comp,13,18,26,25,22,26,13
Pass Att,31,26,37,41,35,38,18
Pass Yds,161,84,319,220,194,221,89
Pass TD,0,0,3,2,0,2,0
Pass INT,2,1,0,1,1,2,2
Sacks Taken,4,2,2,0,4,0,2
Sacked Yards,26,15,13,0,22,0,4
Net Pass Yards,135,69,306,220,172,221,85
Total Yards,193,159,437,375,292,335,180
Fumbles,1,0,0,0,4,2,1
Fumbles Lost,1,0,0,0,2,0,0
Turnovers,3,1,0,1,3,2,2
Penalties,6,9,7,6,4,10,6
Penalty Yds,80,90,51,37,18,74,59
3D Conv,1,1,5,7,3,5,3
3D Conv Yards,10,12,12,14,12,11,10
4D Conv,1,1,0,1,1,0,0
4D Conv Yards,3,3,0,3,3,1,1
Time of Possession,23:21,23:42,36:02,31:02,26:12,29:20,24:55
