Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6,week_7
Points,26,16,20,42,bye,47,31
First Downs,21,26,23,21,bye,27,19
Rush Att,31,27,43,28,bye,36,27
Rush Yds,163,139,187,116,bye,184,144
Rush TDs,2,1,1,3,bye,2,2
Pass Comp,18,35,18,19,bye,19,22
Pass Att,28,56,23,19,bye,27,25
Pass Yds,217,324,199,299,bye,334,280
Pass TD,1,0,2,3,bye,3,2
Pass INT,1,2,1,0,bye,0,0
Sacks Taken,2,0,2,3,bye,3,4
Sacked Yards,17,0,13,26,bye,26,33
Net Pass Yards,200,324,186,273,bye,308,247
Total Yards,363,463,373,389,bye,492,391
Fumbles,0,0,0,0,bye,1,3
Fumbles Lost,0,0,0,0,bye,0,1
Turnovers,1,2,1,0,bye,0,1
Penalties,6,4,9,12,bye,8,8
Penalty Yds,56,71,79,101,bye,63,49
3D Conv,6,7,6,3,bye,4,4
3D Conv Yards,13,17,12,6,bye,10,10
4D Conv,1,3,0,0,bye,1,0
4D Conv Yards,1,5,1,0,bye,2,1
Time of Possession,29:45,33:53,36:49,25:56,bye,34:43,29:03
