Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6,week_7
Points,17,44,28,15,17,47,bye
First Downs,15,24,24,16,17,27,bye
Rush Att,19,39,45,24,26,36,bye
Rush Yds,93,190,274,26,92,184,bye
Rush TDs,1,4,3,0,0,2,bye
Pass Comp,24,11,12,29,16,19,bye
Pass Att,45,16,15,40,28,27,bye
Pass Yds,169,243,182,281,150,334,bye
Pass TD,1,2,1,0,2,3,bye
Pass INT,2,1,0,1,0,0,bye
Sacks Taken,6,1,0,1,3,3,bye
Sacked Yards,32,1,0,4,16,26,bye
Net Pass Yards,137,242,182,277,134,308,bye
Total Yards,230,432,456,303,226,492,bye
Fumbles,1,0,0,1,2,1,bye
Fumbles Lost,0,0,0,0,1,0,bye
Turnovers,2,1,0,1,1,0,bye
Penalties,11,5,13,4,8,8,bye
Penalty Yds,64,40,105,35,50,63,bye
3D Conv,2,5,4,5,3,4,bye
3D Conv Yards,15,8,9,16,12,10,bye
4D Conv,3,0,0,3,2,1,bye
4D Conv Yards,5,0,0,4,2,2,bye
Time of Possession,30:54,30:31,34:45,35:37,27:31,34:43,bye
