Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6,week_7
Points,16,20,3,13,10,21,16
First Downs,17,19,11,12,15,17,17
Rush Att,39,36,15,24,19,26,15
Rush Yds,170,185,78,73,151,82,38
Rush TDs,1,1,0,0,1,0,0
Pass Comp,15,15,16,19,18,20,26
Pass Att,24,27,26,32,34,33,37
Pass Yds,121,149,120,168,160,243,276
Pass TD,0,1,0,1,0,3,2
Pass INT,0,0,0,1,0,2,0
Sacks Taken,1,3,7,6,2,4,2
Sacked Yards,1,24,59,25,12,34,19
Net Pass Yards,120,125,61,143,148,209,257
Total Yards,290,310,139,216,299,291,295
Fumbles,1,1,1,4,0,3,0
Fumbles Lost,0,0,1,2,0,2,0
Turnovers,0,0,1,3,0,4,0
Penalties,5,3,5,3,12,9,7
Penalty Yds,40,42,70,20,105,50,35
3D Conv,6,6,2,5,4,3,6
3D Conv Yards,15,16,11,16,13,13,12
4D Conv,0,0,3,1,0,2,0
4D Conv Yards,0,0,3,3,1,2,1
Time of Possession,34:03,35:42,19:56,28:25,25:40,29:13,26:45
