Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6,week_7
Points,19,23,27,13,24,24,28
First Downs,14,17,19,12,19,22,22
Rush Att,19,24,26,24,26,20,39
Rush Yds,68,146,98,73,169,52,184
Rush TDs,1,0,2,0,1,1,4
Pass Comp,19,17,16,19,19,30,16
Pass Att,29,26,26,32,30,52,27
Pass Yds,203,268,221,168,195,312,154
Pass TD,2,2,1,1,1,1,0
Pass INT,1,1,0,1,1,2,2
Sacks Taken,1,4,3,6,1,1,2
Sacked Yards,5,11,23,25,6,6,9
Net Pass Yards,198,257,198,143,189,306,145
Total Yards,266,403,296,216,358,358,329
Fumbles,1,3,0,4,1,2,0
Fumbles Lost,1,1,0,2,0,1,0
Turnovers,2,2,0,3,1,3,2
Penalties,3,7,8,3,1,9,4
Penalty Yds,10,53,75,20,5,69,48
3D Conv,6,7,5,5,3,7,8
3D Conv Yards,10,12,12,16,10,16,14
4D Conv,0,0,2,1,1,2,1
4D Conv Yards,1,0,2,3,1,3,2
Time of Possession,21:20,25:12,26:33,28:25,27:02,26:57,35:04
