Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6,week_7
Points,32,17,24,30,23,36,18
First Downs,24,24,25,19,22,21,19
Rush Att,38,25,34,32,26,33,24
Rush Yds,180,102,137,148,153,228,101
Rush TDs,2,1,0,1,0,1,2
Pass Comp,19,28,22,15,19,18,17
Pass Att,29,36,30,27,35,28,31
Pass Yds,231,319,292,288,244,255,212
Pass TD,0,1,3,1,1,3,0
Pass INT,0,1,0,1,2,0,3
Sacks Taken,3,6,1,1,2,0,1
Sacked Yards,10,25,4,5,13,0,3
Net Pass Yards,221,294,288,283,231,255,209
Total Yards,401,396,425,431,384,483,310
Fumbles,0,3,2,3,1,0,1
Fumbles Lost,0,1,1,1,1,0,0
Turnovers,0,2,1,2,3,0,3
Penalties,4,4,7,6,4,5,6
Penalty Yds,40,30,111,43,21,34,40
3D Conv,6,2,6,7,6,5,2
3D Conv Yards,13,10,11,13,11,12,11
4D Conv,0,1,1,0,0,0,1
4D Conv Yards,0,3,1,0,1,0,1
Time of Possession,38:40,34:48,33:27,31:35,32:58,33:03,24:56
