Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6,week_7
Points,17,18,15,16,13,16,14
First Downs,15,17,16,16,12,14,18
Rush Att,19,29,18,22,23,25,21
Rush Yds,93,125,69,92,104,100,77
Rush TDs,1,1,0,0,0,0,1
Pass Comp,24,22,21,24,16,16,31
Pass Att,45,34,37,32,29,23,52
Pass Yds,169,186,196,176,141,168,277
Pass TD,1,0,2,1,1,0,1
Pass INT,2,0,0,1,0,0,2
Sacks Taken,6,2,8,3,7,5,4
Sacked Yards,32,14,48,27,33,24,18
Net Pass Yards,137,172,148,149,108,144,259
Total Yards,230,297,217,241,212,244,336
Fumbles,1,1,2,1,1,0,1
Fumbles Lost,0,0,2,0,1,0,0
Turnovers,2,0,2,1,1,0,2
Penalties,11,13,5,5,9,7,10
Penalty Yds,64,100,48,38,52,55,80
3D Conv,2,2,4,3,1,3,8
3D Conv Yards,15,14,14,10,13,12,19
4D Conv,3,3,1,0,2,1,1
4D Conv Yards,5,3,3,1,3,1,2
Time of Possession,30:54,34:23,26:04,30:42,28:42,31:27,34:29
