Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6
Points,20,20,13,29,bye,9
First Downs,26,14,17,38,bye,16
Rush Att,23,23,18,19,bye,17
Rush Yds,83,70,77,133,bye,53
Rush TDs,1,1,0,3,bye,0
Pass Comp,34,12,21,38,bye,25
Pass Att,49,19,34,56,bye,44
Pass Yds,317,185,207,395,bye,224
Pass TD,1,1,1,1,bye,0
Pass INT,1,1,1,1,bye,3
Sacks Taken,2,5,1,3,bye,4
Sacked Yards,13,39,7,12,bye,26
Net Pass Yards,304,146,200,383,bye,198
Total Yards,387,216,277,516,bye,251
Fumbles,0,2,0,1,bye,2
Fumbles Lost,0,0,0,1,bye,2
Turnovers,1,1,1,2,bye,5
Penalties,6,4,4,8,bye,4
Penalty Yds,50,35,30,70,bye,30
3D Conv,5,2,1,5,bye,3
3D Conv Yards,12,10,9,10,bye,13
4D Conv,1,0,0,1,bye,1
4D Conv Yards,2,0,2,2,bye,4
Time of Possession,34:56,26:07,23:11,34:04,bye,25:17
