,PHI,NYG
Points,,
First Downs,20,10
Rush Att,45,18
Rush Yds,269,76
Rush TDs,3,0
Pass Comp,10,17
Pass Att,15,29
Pass Yds,114,105
Pass TD,1,0
Pass INT,0,0
Sacks Taken,5,8
Sacked Yards,44,62
Net Pass Yards,70,43
Total Yards,339,119
Fumbles,0,3
Fumbles Lost,0,0
Turnovers,0,0
Penalties,6,5
Penalty Yds,35,35
3D Conv,1,3
3D Conv Yards,13,14
4D Conv,3,0
4D Conv Yards,3,0
Time of Possession,35:20,24:40
