,CAR,WAS
Points,,
First Downs,10,26
Rush Att,23,37
Rush Yds,95,214
Rush TDs,1,1
Pass Comp,13,20
Pass Att,18,25
Pass Yds,89,211
Pass TD,0,2
Pass INT,2,0
Sacks Taken,2,1
Sacked Yards,4,4
Net Pass Yards,85,207
Total Yards,180,421
Fumbles,1,1
Fumbles Lost,0,0
Turnovers,2,0
Penalties,6,8
Penalty Yds,59,55
3D Conv,3,5
3D Conv Yards,10,10
4D Conv,0,0
4D Conv Yards,1,0
Time of Possession,24:55,35:05
