SHAPE_1,SHAPE_2,SHAPE_3,SHAPE_7,SHAPE_8,SHAPE_9
0.583,0.448,2.402,1.692,0.881,3.366
0.538,0.455,2.352,1.850,0.907,3.251
0.755,0.479,2.399,1.531,0.915,3.292
0.478,0.478,2.491,1.859,0.880,3.365
0.598,0.483,2.421,1.742,1.011,3.440
0.595,0.471,2.321,1.766,0.860,3.202
0.609,0.478,2.354,1.656,0.934,3.455
0.608,0.455,2.508,1.935,1.007,3.235
0.574,0.460,2.355,1.635,0.925,3.126
0.511,0.458,2.311,1.649,0.967,3.114
0.524,0.442,2.307,1.843,0.926,3.220
0.541,0.464,2.448,1.636,0.941,3.217
0.516,0.480,2.383,1.846,0.901,3.404
0.569,0.455,2.224,1.501,0.989,3.214
0.484,0.455,2.359,1.887,0.859,3.274
0.504,0.462,2.369,1.850,0.921,3.197
0.513,0.472,2.567,1.833,0.956,3.273
0.589,0.461,2.540,1.709,0.973,3.288
0.502,0.474,2.437,1.803,0.945,3.210
0.511,0.449,2.440,1.811,0.903,3.066
0.592,0.467,2.332,1.803,0.966,3.306
0.690,0.471,2.347,1.577,0.892,3.160
0.578,0.444,2.457,1.784,0.929,3.225
0.499,0.456,2.417,1.953,0.939,3.294
0.499,0.458,2.349,1.908,0.842,3.071
0.622,0.444,2.296,1.746,0.909,3.225
0.566,0.457,2.339,1.769,0.896,3.187
0.639,0.466,2.356,1.652,0.948,3.409
0.518,0.474,2.417,1.831,0.942,3.379
0.534,0.450,2.437,1.805,0.962,3.186
0.536,0.434,2.383,1.920,0.970,3.030
0.513,0.482,2.575,1.866,0.950,3.446
0.539,0.455,2.406,1.772,0.902,3.363
0.726,0.473,2.410,1.552,0.850,3.278
0.554,0.463,2.499,1.838,0.926,3.299
0.520,0.462,2.382,1.938,0.895,3.195
0.494,0.469,2.526,1.851,0.969,3.291
0.573,0.456,2.575,1.800,0.940,3.258
0.537,0.476,2.265,1.730,0.881,3.151
0.547,0.456,2.354,1.642,0.936,3.396
0.658,0.446,2.369,1.720,0.941,3.167
0.580,0.451,2.333,1.728,0.852,3.196
0.545,0.450,2.312,1.629,0.942,3.110
0.498,0.478,2.448,1.779,0.882,3.132
0.521,0.473,2.408,1.658,0.915,3.337
0.504,0.482,2.554,1.825,0.934,3.142
0.517,0.467,2.375,1.866,0.854,3.137
0.565,0.448,2.435,1.667,0.983,3.333
0.552,0.452,2.445,1.694,0.941,3.371
0.524,0.452,2.480,1.742,0.917,3.299
0.600,0.458,2.410,1.656,0.930,3.283
0.566,0.474,2.506,1.730,0.964,3.408
0.686,0.456,2.257,1.618,0.978,3.399
0.512,0.477,2.393,1.871,0.850,3.371
0.499,0.457,2.475,1.658,0.982,3.239
0.487,0.467,2.392,1.888,0.823,3.204
0.517,0.467,2.437,1.895,0.951,3.196
0.574,0.469,2.451,1.701,1.027,3.317
0.527,0.480,2.387,1.760,0.877,3.174
0.514,0.468,2.395,1.955,0.877,3.349
0.556,0.461,2.470,1.841,0.980,3.184
0.540,0.439,2.341,1.658,0.892,3.305
0.647,0.435,2.164,1.527,0.878,3.201
0.534,0.441,2.274,1.732,0.949,3.307
0.540,0.439,2.338,1.804,0.952,3.259
0.512,0.422,2.439,1.762,0.922,3.334
0.522,0.452,2.471,1.733,0.983,3.227
0.489,0.451,2.540,1.864,0.945,3.352
0.599,0.451,2.353,1.572,1.019,3.061
0.710,0.455,2.157,1.513,0.999,3.230
0.564,0.447,2.282,1.784,0.952,3.212
0.529,0.463,2.393,1.752,0.945,3.291
0.544,0.457,2.450,1.770,0.927,3.321
0.591,0.424,2.429,1.739,1.000,3.240
0.540,0.469,2.458,1.643,0.952,3.266
0.554,0.462,2.245,1.610,0.949,3.367
0.522,0.469,2.579,1.814,0.914,3.236
0.495,0.467,2.287,1.750,0.927,3.351
0.554,0.453,2.338,1.771,0.954,3.199
0.572,0.451,2.358,1.668,0.929,3.161
0.563,0.464,2.612,1.889,0.866,3.224
0.505,0.435,2.441,1.819,0.972,3.244
0.597,0.460,2.315,1.530,0.958,3.129
0.534,0.468,2.409,2.036,0.924,3.223
0.539,0.428,2.386,1.686,0.928,3.274
0.532,0.467,2.490,1.728,0.900,3.321
0.560,0.436,2.409,1.742,0.955,3.126
0.661,0.446,2.288,1.568,0.959,3.161
0.623,0.458,2.218,1.599,1.006,3.222
0.480,0.439,2.482,1.847,0.928,3.180
0.497,0.441,2.483,1.889,0.883,3.257
0.573,0.429,2.376,1.735,0.939,3.277
0.521,0.465,2.456,1.797,0.946,3.331
0.578,0.465,2.224,1.827,0.964,3.253
0.538,0.437,2.383,1.713,0.924,3.227
0.507,0.460,2.486,1.778,0.978,3.210
0.545,0.457,2.281,1.832,0.881,3.416
0.538,0.453,2.484,1.742,0.951,3.268
0.506,0.475,2.415,1.944,0.972,3.391
0.577,0.434,2.350,1.868,0.907,3.270
0.538,0.457,2.568,1.779,0.957,3.173
0.718,0.447,2.215,1.549,0.970,3.089
0.581,0.442,2.343,1.724,0.984,3.269
0.510,0.457,2.362,1.857,0.954,3.306
0.551,0.425,2.377,1.848,0.957,2.953
0.603,0.434,2.312,1.832,0.942,3.174
0.530,0.439,2.337,1.894,0.962,3.313
