SIZE_0,SHAPE_1,SHAPE_2,SHAPE_3,SHAPE_4,SHAPE_7,SHAPE_9
238.8,0.748,0.488,1.957,1.097,1.349,3.257
213.8,0.603,0.475,2.122,1.274,1.386,3.205
204.0,0.590,0.487,2.146,1.417,1.383,3.394
207.6,0.528,0.460,2.116,1.329,1.448,3.282
204.7,0.587,0.478,2.116,1.279,1.424,3.165
198.6,0.593,0.484,2.228,1.303,1.506,3.427
194.4,0.512,0.453,2.288,1.357,1.545,3.241
206.0,0.482,0.455,2.232,1.504,1.506,3.294
207.6,0.583,0.462,2.156,1.273,1.453,3.237
199.4,0.569,0.455,2.242,1.434,1.451,3.329
198.1,0.559,0.463,2.191,1.316,1.599,3.410
200.9,0.617,0.469,2.139,1.342,1.338,3.221
191.8,0.560,0.469,2.181,1.337,1.435,3.122
208.1,0.544,0.453,2.157,1.312,1.404,3.212
199.3,0.568,0.440,2.089,1.372,1.462,3.322
212.1,0.573,0.477,2.207,1.387,1.448,3.381
210.8,0.472,0.458,2.285,1.658,1.618,3.306
211.3,0.576,0.460,2.177,1.264,1.475,3.375
194.2,0.465,0.458,2.296,1.474,1.682,3.101
199.3,0.541,0.482,2.139,1.406,1.556,3.357
201.7,0.535,0.463,2.296,1.340,1.525,3.225
200.9,0.492,0.453,2.360,1.420,1.459,3.184
222.0,0.623,0.455,2.040,1.452,1.389,3.343
218.6,0.518,0.463,2.129,1.298,1.462,3.319
207.8,0.565,0.488,2.199,1.323,1.471,3.316
199.1,0.555,0.480,2.309,1.292,1.548,3.233
208.0,0.531,0.485,2.213,1.240,1.520,3.462
217.3,0.564,0.464,2.054,1.275,1.391,3.408
226.1,0.713,0.482,1.962,1.238,1.260,3.312
207.7,0.509,0.453,2.264,1.332,1.408,3.255
194.7,0.564,0.473,2.118,1.343,1.450,3.309
193.5,0.512,0.472,2.141,1.285,1.605,3.394
212.9,0.578,0.462,2.152,1.343,1.417,3.234
225.9,0.647,0.460,2.058,1.296,1.481,3.338
223.1,0.602,0.462,2.045,1.275,1.471,3.188
209.2,0.555,0.459,2.151,1.376,1.473,3.222
202.1,0.571,0.486,2.079,1.291,1.606,3.493
210.5,0.553,0.466,2.109,1.286,1.590,3.227
194.7,0.581,0.476,2.133,1.306,1.436,3.354
205.0,0.516,0.478,2.191,1.455,1.475,3.425
232.7,0.730,0.481,2.056,1.199,1.242,3.204
216.6,0.562,0.450,2.060,1.218,1.517,3.344
204.7,0.530,0.468,2.199,1.390,1.515,3.194
219.4,0.538,0.468,2.164,1.305,1.586,3.283
207.3,0.624,0.468,2.096,1.246,1.406,3.341
195.7,0.519,0.467,2.256,1.350,1.546,3.176
197.7,0.588,0.466,2.198,1.319,1.487,3.236
209.3,0.582,0.474,2.025,1.320,1.414,3.431
204.3,0.517,0.478,2.154,1.374,1.529,3.280
207.8,0.524,0.480,2.157,1.252,1.460,3.410
219.5,0.542,0.462,2.049,1.235,1.381,3.295
207.3,0.570,0.485,2.098,1.305,1.450,3.323
212.1,0.510,0.474,2.198,1.541,1.421,3.410
205.0,0.510,0.466,2.183,1.278,1.544,3.416
198.8,0.519,0.474,2.285,1.458,1.489,3.418
195.0,0.492,0.466,2.160,1.241,1.515,3.232
204.2,0.485,0.470,2.191,1.268,1.467,3.423
211.3,0.577,0.455,2.130,1.222,1.483,3.177
199.2,0.545,0.470,2.300,1.347,1.477,3.331
209.3,0.545,0.481,2.097,1.375,1.515,3.291
205.9,0.557,0.456,2.078,1.212,1.619,3.272
207.0,0.581,0.459,2.036,1.253,1.452,3.315
201.1,0.498,0.485,2.265,1.344,1.615,3.587
