SHAPE_1,SHAPE_2,SHAPE_3,SHAPE_5,SHAPE_7,SHAPE_8,SHAPE_10
0.748,0.488,1.957,1.291,1.349,0.972,0.395
0.603,0.475,2.122,1.346,1.386,1.051,0.399
0.590,0.487,2.146,1.223,1.383,1.112,0.384
0.528,0.460,2.116,1.468,1.448,1.019,0.372
0.587,0.478,2.116,1.292,1.424,1.076,0.370
0.593,0.484,2.228,1.287,1.506,1.017,0.338
0.512,0.453,2.288,1.362,1.545,1.002,0.381
0.482,0.455,2.232,1.342,1.506,1.091,0.363
0.583,0.462,2.156,1.334,1.453,1.024,0.380
0.569,0.455,2.242,1.441,1.451,1.059,0.369
0.559,0.463,2.191,1.303,1.599,1.088,0.354
0.617,0.469,2.139,1.418,1.338,1.114,0.361
0.560,0.469,2.181,1.389,1.435,1.001,0.350
0.544,0.453,2.157,1.453,1.404,1.018,0.392
0.568,0.440,2.089,1.386,1.462,1.013,0.363
0.573,0.477,2.207,1.344,1.448,1.083,0.377
0.472,0.458,2.285,1.379,1.618,1.140,0.389
0.576,0.460,2.177,1.473,1.475,0.951,0.365
0.465,0.458,2.296,1.242,1.682,0.944,0.388
0.541,0.482,2.139,1.401,1.556,0.962,0.349
0.535,0.463,2.296,1.356,1.525,1.025,0.396
0.492,0.453,2.360,1.228,1.459,1.035,0.377
0.623,0.455,2.040,1.280,1.389,1.092,0.405
0.518,0.463,2.129,1.411,1.462,0.962,0.393
0.565,0.488,2.199,1.394,1.471,1.089,0.370
0.555,0.480,2.309,1.291,1.548,0.971,0.366
0.531,0.485,2.213,1.363,1.520,0.953,0.377
0.564,0.464,2.054,1.314,1.391,1.049,0.384
0.713,0.482,1.962,1.378,1.260,1.064,0.394
0.509,0.453,2.264,1.322,1.408,1.014,0.385
0.564,0.473,2.118,1.294,1.450,1.064,0.342
0.512,0.472,2.141,1.405,1.605,0.927,0.358
0.578,0.462,2.152,1.293,1.417,1.051,0.384
0.647,0.460,2.058,1.248,1.481,1.071,0.387
0.602,0.462,2.045,1.393,1.471,0.997,0.396
0.555,0.459,2.151,1.476,1.473,1.029,0.395
0.571,0.486,2.079,1.253,1.606,0.936,0.363
0.553,0.466,2.109,1.346,1.590,0.971,0.400
0.581,0.476,2.133,1.313,1.436,1.045,0.368
0.516,0.478,2.191,1.487,1.475,1.055,0.386
0.730,0.481,2.056,1.364,1.242,0.985,0.376
0.562,0.450,2.060,1.377,1.517,1.010,0.419
0.530,0.468,2.199,1.408,1.515,1.023,0.364
0.538,0.468,2.164,1.314,1.586,1.059,0.401
0.624,0.468,2.096,1.314,1.406,1.009,0.379
0.519,0.467,2.256,1.293,1.546,1.018,0.377
0.588,0.466,2.198,1.345,1.487,1.013,0.368
0.582,0.474,2.025,1.379,1.414,1.007,0.379
0.517,0.478,2.154,1.301,1.529,0.970,0.402
0.524,0.480,2.157,1.374,1.460,0.999,0.377
0.542,0.462,2.049,1.378,1.381,0.992,0.378
0.570,0.485,2.098,1.396,1.450,1.035,0.374
0.510,0.474,2.198,1.427,1.421,1.099,0.389
0.510,0.466,2.183,1.247,1.544,0.980,0.391
0.519,0.474,2.285,1.368,1.489,1.031,0.369
0.492,0.466,2.160,1.291,1.515,0.971,0.344
0.485,0.470,2.191,1.233,1.467,0.957,0.376
0.577,0.455,2.130,1.295,1.483,1.084,0.394
0.545,0.470,2.300,1.306,1.477,1.071,0.352
0.545,0.481,2.097,1.354,1.515,1.103,0.373
0.557,0.456,2.078,1.374,1.619,0.992,0.387
0.581,0.459,2.036,1.289,1.452,1.039,0.389
0.498,0.485,2.265,1.384,1.615,1.034,0.372
0.492,0.461,2.197,1.334,1.555,0.965,0.376
0.609,0.487,1.962,1.282,1.489,1.059,0.372
0.563,0.506,2.151,1.505,1.592,1.038,0.350
0.609,0.463,1.963,1.259,1.384,1.067,0.431
0.558,0.464,2.123,1.276,1.604,0.996,0.375
0.500,0.453,2.098,1.285,1.671,0.965,0.361
0.603,0.492,1.954,1.250,1.370,1.085,0.386
0.600,0.460,2.022,1.382,1.469,1.111,0.380
0.532,0.467,2.086,1.382,1.520,0.997,0.361
0.607,0.459,2.017,1.421,1.413,1.123,0.378
0.597,0.480,2.056,1.269,1.370,1.053,0.357
0.499,0.470,2.337,1.481,1.496,1.034,0.349
0.570,0.461,2.176,1.303,1.458,1.091,0.377
0.522,0.472,2.151,1.335,1.503,1.067,0.388
0.545,0.479,2.076,1.261,1.418,1.025,0.342
0.601,0.479,2.012,1.344,1.425,1.044,0.333
0.547,0.447,2.137,1.275,1.506,0.932,0.378
0.643,0.484,2.052,1.288,1.476,1.166,0.359
0.612,0.466,1.924,1.258,1.336,1.045,0.381
0.572,0.484,1.998,1.375,1.525,0.947,0.365
0.559,0.470,1.950,1.314,1.552,1.034,0.375
0.718,0.454,1.782,1.556,1.296,1.006,0.398
0.559,0.478,2.195,1.343,1.542,1.076,0.365
0.557,0.472,2.038,1.332,1.531,0.960,0.372
0.600,0.442,2.059,1.463,1.408,1.126,0.399
0.627,0.470,2.031,1.340,1.474,1.090,0.374
0.496,0.440,2.030,1.266,1.558,0.965,0.390
0.574,0.462,2.078,1.345,1.418,1.074,0.371
0.517,0.458,2.168,1.376,1.640,1.044,0.384
0.505,0.468,2.164,1.338,1.558,0.954,0.369
0.591,0.484,2.051,1.212,1.390,0.959,0.371
0.546,0.454,2.240,1.340,1.446,0.991,0.373
0.535,0.457,2.069,1.302,1.548,1.015,0.390
0.584,0.471,2.052,1.349,1.419,1.038,0.398
0.595,0.492,2.190,1.186,1.376,1.073,0.404
0.539,0.479,2.187,1.413,1.604,1.043,0.359
0.658,0.470,2.110,1.385,1.416,1.170,0.376
0.528,0.456,2.242,1.441,1.501,1.035,0.365
0.508,0.480,2.318,1.287,1.518,0.999,0.383
0.486,0.464,2.290,1.345,1.600,1.009,0.374
0.537,0.466,2.211,1.440,1.473,1.067,0.367
0.520,0.446,2.186,1.384,1.605,1.051,0.385
0.523,0.482,2.196,1.372,1.625,0.963,0.345
0.635,0.468,1.999,1.298,1.359,1.059,0.387
0.535,0.462,2.172,1.383,1.448,0.965,0.390
0.514,0.473,2.162,1.285,1.632,0.942,0.361
0.565,0.459,2.098,1.285,1.528,1.069,0.368
0.529,0.466,2.096,1.310,1.430,1.008,0.391
0.552,0.461,2.121,1.324,1.480,1.028,0.394
0.571,0.478,2.011,1.337,1.455,1.070,0.373
0.638,0.471,1.959,1.363,1.413,1.065,0.391
0.547,0.469,2.076,1.374,1.450,1.043,0.378
0.624,0.484,1.961,1.254,1.375,0.987,0.347
0.523,0.451,2.226,1.286,1.557,1.012,0.358
0.603,0.456,1.947,1.343,1.599,0.988,0.369
0.504,0.468,2.251,1.379,1.498,1.143,0.370
0.554,0.482,2.070,1.430,1.600,1.109,0.372
0.501,0.453,2.196,1.287,1.524,0.980,0.378
0.611,0.468,1.991,1.358,1.324,1.011,0.391
0.605,0.473,1.973,1.252,1.457,1.088,0.385
0.560,0.459,2.177,1.339,1.566,1.033,0.382
0.590,0.465,2.037,1.467,1.343,0.968,0.390
0.503,0.467,2.204,1.201,1.648,0.998,0.366
0.540,0.464,2.176,1.179,1.581,1.014,0.382
0.534,0.461,2.180,1.310,1.564,1.001,0.367
0.548,0.467,2.196,1.250,1.585,1.103,0.370
