SHAPE_1,SHAPE_3,SHAPE_4,SHAPE_8,SHAPE_9
0.748,1.957,1.097,0.972,3.257
0.603,2.122,1.274,1.051,3.205
0.590,2.146,1.417,1.112,3.394
0.528,2.116,1.329,1.019,3.282
0.587,2.116,1.279,1.076,3.165
0.593,2.228,1.303,1.017,3.427
0.512,2.288,1.357,1.002,3.241
0.482,2.232,1.504,1.091,3.294
0.583,2.156,1.273,1.024,3.237
0.569,2.242,1.434,1.059,3.329
0.559,2.191,1.316,1.088,3.410
0.617,2.139,1.342,1.114,3.221
0.560,2.181,1.337,1.001,3.122
0.544,2.157,1.312,1.018,3.212
0.568,2.089,1.372,1.013,3.322
0.573,2.207,1.387,1.083,3.381
0.472,2.285,1.658,1.140,3.306
0.576,2.177,1.264,0.951,3.375
0.465,2.296,1.474,0.944,3.101
0.541,2.139,1.406,0.962,3.357
0.535,2.296,1.340,1.025,3.225
0.492,2.360,1.420,1.035,3.184
0.623,2.040,1.452,1.092,3.343
0.518,2.129,1.298,0.962,3.319
0.565,2.199,1.323,1.089,3.316
0.555,2.309,1.292,0.971,3.233
0.531,2.213,1.240,0.953,3.462
0.564,2.054,1.275,1.049,3.408
0.713,1.962,1.238,1.064,3.312
0.509,2.264,1.332,1.014,3.255
0.564,2.118,1.343,1.064,3.309
0.512,2.141,1.285,0.927,3.394
0.578,2.152,1.343,1.051,3.234
0.647,2.058,1.296,1.071,3.338
0.602,2.045,1.275,0.997,3.188
0.555,2.151,1.376,1.029,3.222
0.571,2.079,1.291,0.936,3.493
0.553,2.109,1.286,0.971,3.227
0.581,2.133,1.306,1.045,3.354
0.516,2.191,1.455,1.055,3.425
0.730,2.056,1.199,0.985,3.204
0.562,2.060,1.218,1.010,3.344
0.530,2.199,1.390,1.023,3.194
0.538,2.164,1.305,1.059,3.283
0.624,2.096,1.246,1.009,3.341
0.519,2.256,1.350,1.018,3.176
0.588,2.198,1.319,1.013,3.236
0.582,2.025,1.320,1.007,3.431
0.517,2.154,1.374,0.970,3.280
0.524,2.157,1.252,0.999,3.410
0.542,2.049,1.235,0.992,3.295
0.570,2.098,1.305,1.035,3.323
0.510,2.198,1.541,1.099,3.410
0.510,2.183,1.278,0.980,3.416
0.519,2.285,1.458,1.031,3.418
0.492,2.160,1.241,0.971,3.232
0.485,2.191,1.268,0.957,3.423
0.577,2.130,1.222,1.084,3.177
0.545,2.300,1.347,1.071,3.331
0.545,2.097,1.375,1.103,3.291
0.557,2.078,1.212,0.992,3.272
0.581,2.036,1.253,1.039,3.315
0.498,2.265,1.344,1.034,3.587
0.492,2.197,1.309,0.965,3.335
0.609,1.962,1.268,1.059,3.246
0.563,2.151,1.307,1.038,3.335
0.609,1.963,1.315,1.067,3.256
0.558,2.123,1.249,0.996,3.224
0.500,2.098,1.380,0.965,3.236
0.603,1.954,1.283,1.085,3.368
0.600,2.022,1.349,1.111,3.222
0.532,2.086,1.339,0.997,3.490
0.607,2.017,1.328,1.123,3.292
0.597,2.056,1.299,1.053,3.385
0.499,2.337,1.456,1.034,3.360
0.570,2.176,1.214,1.091,3.267
0.522,2.151,1.448,1.067,3.307
0.545,2.076,1.445,1.025,3.369
0.601,2.012,1.228,1.044,3.285
0.547,2.137,1.354,0.932,3.243
0.643,2.052,1.346,1.166,3.288
0.612,1.924,1.256,1.045,3.433
0.572,1.998,1.275,0.947,3.264
0.559,1.950,1.324,1.034,3.303
0.718,1.782,1.131,1.006,3.008
0.559,2.195,1.411,1.076,3.502
0.557,2.038,1.313,0.960,3.399
0.600,2.059,1.333,1.126,3.200
0.627,2.031,1.287,1.090,3.297
0.496,2.030,1.374,0.965,3.168
0.574,2.078,1.348,1.074,3.351
0.517,2.168,1.404,1.044,3.306
0.505,2.164,1.417,0.954,3.302
0.591,2.051,1.306,0.959,3.356
0.546,2.240,1.392,0.991,3.303
0.535,2.069,1.346,1.015,3.259
0.584,2.052,1.305,1.038,3.328
0.595,2.190,1.371,1.073,3.416
0.539,2.187,1.405,1.043,3.341
0.658,2.110,1.206,1.170,3.326
0.528,2.242,1.407,1.035,3.434
0.508,2.318,1.438,0.999,3.493
0.486,2.290,1.457,1.009,3.285
0.537,2.211,1.454,1.067,3.262
0.520,2.186,1.532,1.051,3.221
0.523,2.196,1.369,0.963,3.468
0.635,1.999,1.218,1.059,3.302
0.535,2.172,1.267,0.965,3.218
0.514,2.162,1.355,0.942,3.385
0.565,2.098,1.236,1.069,3.397
0.529,2.096,1.269,1.008,3.315
0.552,2.121,1.267,1.028,3.392
0.571,2.011,1.319,1.070,3.412
0.638,1.959,1.130,1.065,3.320
0.547,2.076,1.413,1.043,3.369
0.624,1.961,1.292,0.987,3.361
0.523,2.226,1.276,1.012,3.259
0.603,1.947,1.180,0.988,3.271
0.504,2.251,1.447,1.143,3.460
0.554,2.070,1.312,1.109,3.206
0.501,2.196,1.349,0.980,3.348
0.611,1.991,1.199,1.011,3.257
0.605,1.973,1.242,1.088,3.242
