SIZE_0,SHAPE_1,SHAPE_3,SHAPE_4,SHAPE_9
238.8,0.748,1.957,1.097,3.257
213.8,0.603,2.122,1.274,3.205
204.0,0.590,2.146,1.417,3.394
207.6,0.528,2.116,1.329,3.282
204.7,0.587,2.116,1.279,3.165
198.6,0.593,2.228,1.303,3.427
194.4,0.512,2.288,1.357,3.241
206.0,0.482,2.232,1.504,3.294
207.6,0.583,2.156,1.273,3.237
199.4,0.569,2.242,1.434,3.329
198.1,0.559,2.191,1.316,3.410
200.9,0.617,2.139,1.342,3.221
191.8,0.560,2.181,1.337,3.122
208.1,0.544,2.157,1.312,3.212
199.3,0.568,2.089,1.372,3.322
212.1,0.573,2.207,1.387,3.381
210.8,0.472,2.285,1.658,3.306
211.3,0.576,2.177,1.264,3.375
194.2,0.465,2.296,1.474,3.101
199.3,0.541,2.139,1.406,3.357
201.7,0.535,2.296,1.340,3.225
200.9,0.492,2.360,1.420,3.184
222.0,0.623,2.040,1.452,3.343
218.6,0.518,2.129,1.298,3.319
207.8,0.565,2.199,1.323,3.316
199.1,0.555,2.309,1.292,3.233
208.0,0.531,2.213,1.240,3.462
217.3,0.564,2.054,1.275,3.408
226.1,0.713,1.962,1.238,3.312
207.7,0.509,2.264,1.332,3.255
194.7,0.564,2.118,1.343,3.309
193.5,0.512,2.141,1.285,3.394
212.9,0.578,2.152,1.343,3.234
225.9,0.647,2.058,1.296,3.338
223.1,0.602,2.045,1.275,3.188
209.2,0.555,2.151,1.376,3.222
202.1,0.571,2.079,1.291,3.493
210.5,0.553,2.109,1.286,3.227
194.7,0.581,2.133,1.306,3.354
205.0,0.516,2.191,1.455,3.425
232.7,0.730,2.056,1.199,3.204
216.6,0.562,2.060,1.218,3.344
204.7,0.530,2.199,1.390,3.194
219.4,0.538,2.164,1.305,3.283
207.3,0.624,2.096,1.246,3.341
195.7,0.519,2.256,1.350,3.176
197.7,0.588,2.198,1.319,3.236
209.3,0.582,2.025,1.320,3.431
204.3,0.517,2.154,1.374,3.280
207.8,0.524,2.157,1.252,3.410
219.5,0.542,2.049,1.235,3.295
207.3,0.570,2.098,1.305,3.323
212.1,0.510,2.198,1.541,3.410
205.0,0.510,2.183,1.278,3.416
198.8,0.519,2.285,1.458,3.418
195.0,0.492,2.160,1.241,3.232
204.2,0.485,2.191,1.268,3.423
211.3,0.577,2.130,1.222,3.177
199.2,0.545,2.300,1.347,3.331
209.3,0.545,2.097,1.375,3.291
205.9,0.557,2.078,1.212,3.272
207.0,0.581,2.036,1.253,3.315
201.1,0.498,2.265,1.344,3.587
200.2,0.492,2.197,1.309,3.335
219.6,0.609,1.962,1.268,3.246
196.3,0.563,2.151,1.307,3.335
223.2,0.609,1.963,1.315,3.256
203.0,0.558,2.123,1.249,3.224
198.4,0.500,2.098,1.380,3.236
213.0,0.603,1.954,1.283,3.368
203.7,0.600,2.022,1.349,3.222
201.3,0.532,2.086,1.339,3.490
201.6,0.607,2.017,1.328,3.292
204.9,0.597,2.056,1.299,3.385
183.9,0.499,2.337,1.456,3.360
210.2,0.570,2.176,1.214,3.267
216.5,0.522,2.151,1.448,3.307
186.6,0.545,2.076,1.445,3.369
189.5,0.601,2.012,1.228,3.285
199.0,0.547,2.137,1.354,3.243
201.5,0.643,2.052,1.346,3.288
211.3,0.612,1.924,1.256,3.433
199.5,0.572,1.998,1.275,3.264
201.5,0.559,1.950,1.324,3.303
233.2,0.718,1.782,1.131,3.008
198.5,0.559,2.195,1.411,3.502
203.3,0.557,2.038,1.313,3.399
217.7,0.600,2.059,1.333,3.200
209.0,0.627,2.031,1.287,3.297
212.2,0.496,2.030,1.374,3.168
207.9,0.574,2.078,1.348,3.351
207.1,0.517,2.168,1.404,3.306
187.5,0.505,2.164,1.417,3.302
196.9,0.591,2.051,1.306,3.356
200.8,0.546,2.240,1.392,3.303
211.0,0.535,2.069,1.346,3.259
214.3,0.584,2.052,1.305,3.328
222.9,0.595,2.190,1.371,3.416
194.3,0.539,2.187,1.405,3.341
216.1,0.658,2.110,1.206,3.326
203.5,0.528,2.242,1.407,3.434
196.3,0.508,2.318,1.438,3.493
206.7,0.486,2.290,1.457,3.285
206.1,0.537,2.211,1.454,3.262
196.9,0.520,2.186,1.532,3.221
184.5,0.523,2.196,1.369,3.468
211.7,0.635,1.999,1.218,3.302
202.8,0.535,2.172,1.267,3.218
197.2,0.514,2.162,1.355,3.385
204.2,0.565,2.098,1.236,3.397
211.0,0.529,2.096,1.269,3.315
209.4,0.552,2.121,1.267,3.392
206.2,0.571,2.011,1.319,3.412
224.6,0.638,1.959,1.130,3.320
200.4,0.547,2.076,1.413,3.369
190.1,0.624,1.961,1.292,3.361
194.3,0.523,2.226,1.276,3.259
216.0,0.603,1.947,1.180,3.271
198.9,0.504,2.251,1.447,3.460
204.5,0.554,2.070,1.312,3.206
217.3,0.501,2.196,1.349,3.348
218.7,0.611,1.991,1.199,3.257
216.1,0.605,1.973,1.242,3.242
208.4,0.560,2.177,1.347,3.247
209.3,0.590,2.037,1.264,3.215
192.2,0.503,2.204,1.363,3.285
198.7,0.540,2.176,1.314,3.295
195.1,0.534,2.180,1.304,3.311
202.8,0.548,2.196,1.360,3.194
206.9,0.573,2.055,1.249,3.348
193.0,0.517,2.413,1.422,3.497
183.6,0.586,2.124,1.261,3.453
212.9,0.526,2.202,1.338,3.392
198.6,0.617,2.033,1.251,3.432
204.2,0.512,2.413,1.424,3.384
207.4,0.638,2.065,1.255,3.207
220.9,0.581,2.032,1.320,3.356
215.2,0.563,2.186,1.299,3.413
193.0,0.585,2.120,1.340,3.222
215.4,0.561,2.149,1.373,3.244
205.7,0.496,2.345,1.473,3.260
212.7,0.465,2.307,1.207,3.075
193.9,0.566,2.089,1.379,3.304
211.8,0.552,2.147,1.212,3.152
189.8,0.573,2.139,1.365,3.251
219.6,0.718,1.887,1.275,3.345
206.1,0.537,2.058,1.321,3.279
211.2,0.569,2.080,1.235,3.328
199.3,0.519,2.349,1.228,3.491
210.6,0.547,2.168,1.375,3.287
204.6,0.579,2.189,1.360,3.343
194.9,0.563,2.168,1.391,3.405
218.9,0.518,2.117,1.267,3.246
196.5,0.564,2.240,1.380,3.364
203.1,0.557,2.284,1.213,3.240
198.9,0.589,2.107,1.333,3.386
210.4,0.566,1.983,1.335,3.371
222.3,0.544,2.203,1.357,3.267
203.3,0.538,2.180,1.332,3.110
207.0,0.517,2.087,1.256,3.314
202.4,0.557,2.115,1.404,3.303
207.9,0.551,2.039,1.183,3.388
207.5,0.517,2.159,1.405,3.338
213.8,0.576,1.962,1.272,3.298
202.4,0.536,2.222,1.451,3.297
211.7,0.642,1.990,1.231,3.134
205.1,0.674,1.989,1.260,3.195
193.9,0.515,2.216,1.461,3.273
211.8,0.508,2.146,1.399,3.295
210.7,0.589,2.107,1.257,3.213
195.2,0.516,2.259,1.378,3.376
196.4,0.525,2.132,1.385,3.209
201.5,0.519,2.402,1.326,3.428
211.4,0.529,2.138,1.246,3.295
208.9,0.613,2.155,1.274,3.401
198.1,0.469,2.237,1.399,3.283
207.2,0.593,2.115,1.306,3.257
204.3,0.508,2.267,1.415,3.291
212.9,0.539,2.158,1.343,3.242
212.5,0.500,2.224,1.242,3.240
215.2,0.632,1.895,1.373,3.227
216.5,0.633,2.013,1.300,3.502
212.4,0.535,2.103,1.361,3.266
209.4,0.583,2.164,1.295,3.212
199.1,0.524,2.074,1.366,3.177
197.7,0.501,2.216,1.281,3.286
219.8,0.649,2.035,1.248,3.196
214.2,0.496,2.174,1.328,3.223
195.3,0.481,2.255,1.487,3.253
194.9,0.530,2.329,1.353,3.519
202.2,0.534,2.104,1.317,3.205
210.4,0.601,2.034,1.262,3.325
220.0,0.647,2.071,1.189,3.392
216.1,0.643,1.888,1.226,3.210
206.1,0.507,2.263,1.207,3.239
213.7,0.637,1.977,1.328,3.218
191.1,0.562,2.186,1.346,3.241
209.7,0.563,1.973,1.348,3.210
211.0,0.531,2.097,1.315,3.406
203.6,0.609,2.065,1.193,3.143
210.8,0.563,2.091,1.343,3.268
200.5,0.547,2.104,1.342,3.217
209.1,0.560,2.168,1.281,3.316
218.8,0.584,1.971,1.274,3.298
201.0,0.560,2.159,1.351,3.352
221.1,0.566,2.146,1.377,3.202
201.7,0.513,2.141,1.328,3.213
211.6,0.578,1.904,1.296,3.164
196.2,0.530,2.236,1.457,3.246
200.7,0.570,2.068,1.321,3.177
215.6,0.666,1.850,1.224,3.289
189.5,0.615,2.038,1.291,3.400
193.2,0.498,2.281,1.428,3.316
191.7,0.580,2.188,1.277,3.317
208.3,0.549,2.102,1.284,3.271
205.0,0.519,2.223,1.325,3.279
208.9,0.556,2.058,1.315,3.277
200.2,0.569,2.049,1.278,3.348
209.6,0.547,2.104,1.234,3.294
205.3,0.527,2.159,1.240,3.245
209.1,0.628,2.036,1.284,3.341
211.6,0.596,2.073,1.198,3.275
211.7,0.612,2.062,1.298,3.397
199.9,0.531,2.104,1.245,3.106
199.1,0.426,2.289,1.338,3.223
205.0,0.657,2.043,1.235,3.312
204.2,0.592,1.953,1.291,3.283
207.3,0.601,2.057,1.329,3.181
196.7,0.438,2.251,1.342,3.349
209.1,0.690,1.987,1.161,3.253
199.0,0.495,2.250,1.313,3.214
212.2,0.615,1.961,1.315,3.329
204.5,0.574,1.975,1.300,3.350
200.1,0.561,2.045,1.388,3.259
223.1,0.485,2.262,1.223,3.170
205.6,0.589,2.122,1.270,3.386
205.4,0.515,2.213,1.281,3.095
199.4,0.576,2.072,1.338,3.151
201.9,0.502,2.265,1.308,3.449
251.7,0.911,1.898,0.984,3.404
213.9,0.580,2.078,1.203,3.190
210.1,0.581,2.024,1.232,3.483
223.5,0.623,1.950,1.106,3.207
200.9,0.557,2.140,1.365,3.327
215.2,0.535,2.140,1.356,3.434
216.6,0.669,1.991,1.228,3.460
204.0,0.484,2.299,1.490,3.279
190.8,0.563,2.115,1.292,3.135
214.5,0.507,2.149,1.385,3.301
202.5,0.562,2.239,1.267,3.371
211.4,0.576,1.924,1.325,3.316
198.0,0.530,2.026,1.238,3.295
214.1,0.614,1.939,1.279,3.188
193.5,0.641,1.974,1.240,3.200
209.7,0.517,2.210,1.328,3.257
204.3,0.564,2.034,1.349,3.238
193.7,0.617,2.132,1.302,3.261
198.7,0.619,2.047,1.312,3.279
220.5,0.621,2.047,1.315,3.252
191.6,0.526,2.295,1.436,3.292
206.6,0.514,2.367,1.303,3.314
208.2,0.572,2.103,1.259,3.371
195.5,0.519,2.272,1.339,3.408
203.4,0.515,2.053,1.345,3.297
203.6,0.544,2.108,1.286,3.280
221.2,0.482,2.023,1.232,3.157
250.6,0.959,1.988,0.913,3.064
194.4,0.646,2.007,1.266,3.209
199.5,0.508,2.116,1.276,3.316
200.8,0.546,2.052,1.260,3.205
211.2,0.548,2.188,1.231,3.228
203.0,0.575,2.163,1.272,3.000
207.4,0.597,2.048,1.298,3.230
221.3,0.626,2.037,1.199,3.232
219.8,0.572,1.888,1.358,3.274
217.9,0.488,2.054,1.310,3.268
207.2,0.546,2.082,1.280,3.282
