SIZE_0,SHAPE_1,SHAPE_3,SHAPE_4,SHAPE_9
184.7,0.583,2.402,0.963,3.366
180.1,0.538,2.352,1.163,3.251
203.8,0.755,2.399,0.886,3.292
176.9,0.478,2.491,1.131,3.365
184.7,0.598,2.421,1.187,3.440
190.3,0.595,2.321,1.075,3.202
186.8,0.609,2.354,1.137,3.455
172.5,0.608,2.508,1.122,3.235
197.7,0.574,2.355,1.144,3.126
181.2,0.511,2.311,1.262,3.114
198.1,0.524,2.307,1.162,3.220
185.1,0.541,2.448,1.164,3.217
184.6,0.516,2.383,1.206,3.404
189.7,0.569,2.224,1.222,3.214
180.6,0.484,2.359,1.155,3.274
181.8,0.504,2.369,1.127,3.197
186.6,0.513,2.567,1.232,3.273
182.9,0.589,2.540,1.070,3.288
188.7,0.502,2.437,1.146,3.210
184.8,0.511,2.440,1.175,3.066
205.7,0.592,2.332,1.047,3.306
198.9,0.690,2.347,0.959,3.160
194.9,0.578,2.457,1.104,3.225
189.2,0.499,2.417,1.112,3.294
185.1,0.499,2.349,1.214,3.071
189.1,0.622,2.296,1.166,3.225
181.3,0.566,2.339,1.131,3.187
194.5,0.639,2.356,1.028,3.409
173.3,0.518,2.417,1.172,3.379
193.4,0.534,2.437,1.167,3.186
194.6,0.536,2.383,1.208,3.030
194.3,0.513,2.575,1.106,3.446
187.5,0.539,2.406,1.111,3.363
226.9,0.726,2.410,0.873,3.278
190.6,0.554,2.499,1.077,3.299
185.0,0.520,2.382,1.166,3.195
184.0,0.494,2.526,1.164,3.291
187.0,0.573,2.575,1.092,3.258
175.6,0.537,2.265,1.198,3.151
188.8,0.547,2.354,1.087,3.396
195.7,0.658,2.369,1.034,3.167
195.1,0.580,2.333,0.982,3.196
188.8,0.545,2.312,1.138,3.110
186.4,0.498,2.448,1.093,3.132
176.7,0.521,2.408,1.164,3.337
187.7,0.504,2.554,1.161,3.142
174.6,0.517,2.375,1.179,3.137
183.4,0.565,2.435,1.086,3.333
180.7,0.552,2.445,1.168,3.371
197.9,0.524,2.480,1.119,3.299
195.1,0.600,2.410,1.059,3.283
176.3,0.566,2.506,1.195,3.408
200.1,0.686,2.257,1.102,3.399
184.0,0.512,2.393,1.084,3.371
189.0,0.499,2.475,1.166,3.239
189.6,0.487,2.392,1.105,3.204
189.7,0.517,2.437,1.158,3.196
190.7,0.574,2.451,1.103,3.317
171.0,0.527,2.387,1.204,3.174
181.9,0.514,2.395,1.094,3.349
167.8,0.556,2.470,1.089,3.184
190.3,0.540,2.341,1.185,3.305
198.4,0.647,2.164,1.096,3.201
182.9,0.534,2.274,1.148,3.307
188.2,0.540,2.338,1.210,3.259
197.5,0.512,2.439,1.107,3.334
194.3,0.522,2.471,1.222,3.227
185.0,0.489,2.540,1.181,3.352
180.8,0.599,2.353,1.144,3.061
201.9,0.710,2.157,1.073,3.230
182.5,0.564,2.282,1.217,3.212
190.3,0.529,2.393,1.226,3.291
194.2,0.544,2.450,1.128,3.321
190.8,0.591,2.429,1.116,3.240
199.0,0.540,2.458,1.156,3.266
182.2,0.554,2.245,1.189,3.367
181.3,0.522,2.579,1.051,3.236
182.9,0.495,2.287,1.277,3.351
173.9,0.554,2.338,1.206,3.199
194.0,0.572,2.358,1.180,3.161
189.9,0.563,2.612,1.011,3.224
186.4,0.505,2.441,1.139,3.244
183.5,0.597,2.315,1.091,3.129
184.3,0.534,2.409,1.117,3.223
183.4,0.539,2.386,1.151,3.274
188.5,0.532,2.490,1.016,3.321
190.0,0.560,2.409,1.172,3.126
198.4,0.661,2.288,0.991,3.161
185.0,0.623,2.218,1.216,3.222
195.3,0.480,2.482,1.180,3.180
183.1,0.497,2.483,1.256,3.257
195.1,0.573,2.376,1.084,3.277
170.1,0.521,2.456,1.210,3.331
180.0,0.578,2.224,1.132,3.253
196.6,0.538,2.383,1.124,3.227
183.9,0.507,2.486,1.155,3.210
182.3,0.545,2.281,1.143,3.416
176.4,0.538,2.484,1.162,3.268
178.0,0.506,2.415,1.166,3.391
192.2,0.577,2.350,1.023,3.270
186.2,0.538,2.568,1.030,3.173
192.1,0.718,2.215,1.064,3.089
196.4,0.581,2.343,1.138,3.269
184.6,0.510,2.362,1.185,3.306
178.8,0.551,2.377,1.228,2.953
191.1,0.603,2.312,1.092,3.174
179.5,0.530,2.337,1.110,3.313
188.0,0.495,2.274,1.107,3.079
185.9,0.510,2.340,1.108,3.248
181.6,0.527,2.329,1.171,3.098
181.8,0.563,2.418,1.050,3.004
181.7,0.597,2.457,1.132,3.154
177.0,0.595,2.391,1.069,3.177
187.8,0.501,2.558,1.200,3.319
192.8,0.558,2.370,1.129,3.389
186.3,0.563,2.330,1.118,3.146
181.5,0.566,2.427,1.199,3.144
211.9,0.490,2.335,1.124,3.226
195.3,0.485,2.508,1.128,3.302
180.7,0.605,2.349,1.059,3.152
180.9,0.548,2.485,1.120,3.332
176.7,0.521,2.387,1.234,3.180
186.2,0.626,2.331,1.024,3.151
187.7,0.505,2.384,1.238,3.308
198.2,0.591,2.186,1.117,3.237
197.2,0.525,2.392,1.145,3.211
193.5,0.604,2.285,1.056,3.323
192.1,0.525,2.228,1.204,3.293
187.2,0.525,2.350,1.176,3.243
189.5,0.638,2.213,1.089,3.098
183.8,0.504,2.504,1.141,3.165
189.2,0.602,2.404,1.056,3.383
193.8,0.546,2.330,1.097,3.338
177.9,0.511,2.524,1.137,3.342
191.9,0.595,2.396,1.069,3.176
177.0,0.467,2.377,1.246,3.318
191.1,0.608,2.299,0.965,3.340
189.1,0.592,2.309,1.084,3.215
189.5,0.487,2.302,1.176,3.200
182.2,0.495,2.458,1.151,3.076
192.0,0.562,2.368,1.043,3.152
177.7,0.475,2.432,1.235,3.096
182.1,0.471,2.388,1.257,3.228
184.7,0.514,2.508,1.125,3.194
184.2,0.539,2.296,1.116,3.425
228.2,0.758,2.269,1.038,3.155
184.4,0.519,2.400,1.117,3.200
198.8,0.537,2.275,1.141,3.137
183.1,0.576,2.381,1.145,3.431
190.8,0.485,2.404,1.182,3.255
188.7,0.504,2.622,1.240,3.089
185.8,0.505,2.604,1.232,3.114
184.5,0.579,2.258,1.070,3.237
177.7,0.550,2.441,1.064,3.330
200.4,0.776,2.136,1.020,3.298
