,WAS,LAC
Points,,
First Downs,22,18
Rush Att,28,27
Rush Yds,163,155
Rush TDs,2,0
Pass Comp,15,25
Pass Att,26,33
Pass Yds,231,210
Pass TD,1,1
Pass INT,0,1
Sacks Taken,1,5
Sacked Yards,5,29
Net Pass Yards,226,181
Total Yards,389,336
Fumbles,1,1
Fumbles Lost,1,1
Turnovers,1,2
Penalties,7,10
Penalty Yds,48,85
3D Conv,2,9
3D Conv Yards,7,16
4D Conv,1,1
4D Conv Yards,1,2
Time of Possession,25:41,34:19
