,KAN,JAX
Points,,
First Downs,26,21
Rush Att,22,26
Rush Yds,158,109
Rush TDs,3,2
Pass Comp,29,18
Pass Att,41,25
Pass Yds,318,221
Pass TD,1,1
Pass INT,1,1
Sacks Taken,0,3
Sacked Yards,0,11
Net Pass Yards,318,210
Total Yards,476,319
Fumbles,0,1
Fumbles Lost,0,1
Turnovers,1,2
Penalties,13,4
Penalty Yds,109,25
3D Conv,5,5
3D Conv Yards,9,9
4D Conv,0,0
4D Conv Yards,0,1
Time of Possession,31:59,28:01
