,DEN,PHI
Points,,
First Downs,23,16
Rush Att,29,11
Rush Yds,130,45
Rush TDs,1,0
Pass Comp,24,23
Pass Att,39,38
Pass Yds,242,280
Pass TD,1,2
Pass INT,0,0
Sacks Taken,2,6
Sacked Yards,14,23
Net Pass Yards,228,257
Total Yards,358,302
Fumbles,0,0
Fumbles Lost,0,0
Turnovers,0,0
Penalties,12,9
Penalty Yds,121,55
3D Conv,5,2
3D Conv Yards,16,11
4D Conv,0,0
4D Conv Yards,0,0
Time of Possession,34:17,25:43
