,SFO,LAR
Points,,
First Downs,27,27
Rush Att,33,16
Rush Yds,74,78
Rush TDs,0,0
Pass Comp,33,30
Pass Att,49,47
Pass Yds,342,389
Pass TD,2,3
Pass INT,0,0
Sacks Taken,1,1
Sacked Yards,9,11
Net Pass Yards,333,378
Total Yards,407,456
Fumbles,0,2
Fumbles Lost,0,2
Turnovers,0,2
Penalties,8,5
Penalty Yds,44,36
3D Conv,7,4
3D Conv Yards,18,10
4D Conv,3,2
4D Conv Yards,3,3
Time of Possession,40:04,26:20
