INDICATOR,WEIGHT
FirstDowns,0.077
RushAtt,0.077
RushYds,0.077
RushTDs,0.077
PassComp,0.077
PassAtt,0.077
PassYds,0.077
PassTD,0.077
PassINT,0.077
SackedYards,0.077
Turnovers,0.077
PenaltyYds,0.077
TimeofPossession,0.077
