Unnamed: 0,TAM,MIN,Game ID,DET,KAN,CAR,ATL,HOU,BAL,DAL,NYG,LVR,DEN,TEN,NOR,PHI,NWE,MIA,LAC,BUF,NYJ,CIN,CLE,LAR,SEA,JAX,IND,SFO,PIT,GNB,CHI,ARI,WAS
First Downs,16,18,202309100min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rush-Yds-TDs,33-73-0,17-41-0,202309100min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cmp-Att-Yd-TD-INT,21-34-173-2-0,33-44-344-2-1,202309100min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacked-Yards,1-4,2-16,202309100min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Pass Yards,169,328,202309100min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Yards,242,369,202309100min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fumbles-Lost,0-0,2-2,202309100min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnovers,0,3,202309100min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penalties-Yards,3-19,6-45,202309100min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third Down Conv.,6-17,6-14,202309100min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fourth Down Conv.,1-1,0-0,202309100min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time of Possession,30:39,29:21,202309100min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Downs,,,202309070kan,19,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rush-Yds-TDs,,,202309070kan,34-118-1,23-90-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cmp-Att-Yd-TD-INT,,,202309070kan,22-35-253-1-0,21-39-226-2-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacked-Yards,,,202309070kan,1-3,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Pass Yards,,,202309070kan,250,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Yards,,,202309070kan,368,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fumbles-Lost,,,202309070kan,2-1,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnovers,,,202309070kan,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penalties-Yards,,,202309070kan,4-63,3-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third Down Conv.,,,202309070kan,5-15,5-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fourth Down Conv.,,,202309070kan,1-3,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time of Possession,,,202309070kan,32:38,27:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Downs,,,202309100atl,,,20,13,,,,,,,,,,,,,,,,,,,,,,,,,,
Rush-Yds-TDs,,,202309100atl,,,32-154-0,26-130-2,,,,,,,,,,,,,,,,,,,,,,,,,,
Cmp-Att-Yd-TD-INT,,,202309100atl,,,20-38-146-1-2,15-18-115-1-0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacked-Yards,,,202309100atl,,,2-19,4-24,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Pass Yards,,,202309100atl,,,127,91,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Yards,,,202309100atl,,,281,221,,,,,,,,,,,,,,,,,,,,,,,,,,
Fumbles-Lost,,,202309100atl,,,2-1,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnovers,,,202309100atl,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Penalties-Yards,,,202309100atl,,,9-66,6-43,,,,,,,,,,,,,,,,,,,,,,,,,,
