,BAL,BUF
Points,,
First Downs,19,29
Rush Att,29,31
Rush Yds,238,108
Rush TDs,3,3
Pass Comp,14,33
Pass Att,19,46
Pass Yds,209,394
Pass TD,2,2
Pass INT,0,0
Sacks Taken,2,1
Sacked Yards,15,5
Net Pass Yards,194,389
Total Yards,432,497
Fumbles,2,1
Fumbles Lost,1,0
Turnovers,1,0
Penalties,7,5
Penalty Yds,51,38
3D Conv,6,7
3D Conv Yards,11,15
4D Conv,0,1
4D Conv Yards,0,1
Time of Possession,25:11,34:49
