,CIN,CLE
Points,,
First Downs,11,22
Rush Att,23,24
Rush Yds,46,49
Rush TDs,1,1
Pass Comp,14,31
Pass Att,23,45
Pass Yds,113,290
Pass TD,1,1
Pass INT,0,2
Sacks Taken,3,2
Sacked Yards,18,12
Net Pass Yards,95,278
Total Yards,141,327
Fumbles,0,0
Fumbles Lost,0,0
Turnovers,0,2
Penalties,7,7
Penalty Yds,33,53
3D Conv,7,9
3D Conv Yards,14,16
4D Conv,0,2
4D Conv Yards,0,3
Time of Possession,24:11,35:49
