,LVR,NWE
Points,,
First Downs,21,18
Rush Att,24,18
Rush Yds,56,60
Rush TDs,1,0
Pass Comp,24,30
Pass Att,34,46
Pass Yds,362,287
Pass TD,1,1
Pass INT,1,1
Sacks Taken,4,4
Sacked Yards,29,11
Net Pass Yards,333,276
Total Yards,389,336
Fumbles,0,1
Fumbles Lost,0,0
Turnovers,1,1
Penalties,9,8
Penalty Yds,77,70
3D Conv,5,4
3D Conv Yards,13,14
4D Conv,1,1
4D Conv Yards,1,1
Time of Possession,29:55,30:05
