,PHI,BUF
Points,,
First Downs,11,20
Rush Att,26,33
Rush Yds,82,120
Rush TDs,0,2
Pass Comp,13,23
Pass Att,27,35
Pass Yds,110,262
Pass TD,1,0
Pass INT,0,0
Sacks Taken,1,5
Sacked Yards,2,51
Net Pass Yards,108,211
Total Yards,190,331
Fumbles,0,2
Fumbles Lost,0,1
Turnovers,0,1
Penalties,3,4
Penalty Yds,36,40
3D Conv,3,6
3D Conv Yards,13,15
4D Conv,0,2
4D Conv Yards,0,3
Time of Possession,24:45,35:15
